question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.8,"The question could relate to virtualQ's use or integration of third-party software, which is relevant to its technology stack, compliance, and engineering practices.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about programming languages used, which is directly relevant to virtualQ's technology stack and engineering practices, especially in the context of a telephony company developing software products and APIs.",in_domain,en
What are the central frameworks?,True,True,0.8,"The question could reasonably refer to central software frameworks used in virtualQ's technology stack, which would be relevant to its engineering practices or product development.",in_domain,en
What are internal and external audits and how do they differ?,True,True,0.7,"The question about internal and external audits could reasonably relate to virtualQ's security, compliance, or engineering practices, which are part of its technology and operational domain.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,"The question about tracking and managing technical debt is highly relevant to software engineering practices at a technology company like virtualQ, especially in the context of maintaining telephony systems and related infrastructure.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.95,"The question directly pertains to virtualQ's system scalability, which is a core aspect of its technology stack and infrastructure, making it highly relevant to the domain.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.95,"Speech and intent recognition are core technologies in telephony systems, and it is reasonable to expect they are used in virtualQ's platform for call handling or customer interaction automation.",in_domain,en
How is the build and deployment process organized?,True,True,0.95,"The question pertains to build and deployment processes, which are core aspects of virtualQ's engineering practices and CI/CD infrastructure, making it highly relevant to the company's technology stack.",in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.8,"Mobile Device Management (MDM) is relevant to virtualQ's telephony technology stack as it could pertain to managing mobile devices used in their communication platforms, ensuring security, compliance, and integration with enterprise systems.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.9,"The question could reasonably relate to virtualQ's forecasting engine if it uses machine learning for call volume prediction or similar telephony-related analytics, which is a plausible component of their technology stack.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.85,"The question asks about specific technical components (optimizers) offered by virtualQ, which could relate to its telephony platform, APIs, or internal tools, making it reasonably within the domain of virtualQ's technology stack.",in_domain,en
What is the capital of France?,False,False,0.1,"The question about the capital of France is general knowledge and has no direct or indirect relevance to virtualQ's technology stack, products, or operations.",out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.1,"The question about the author of '1984' is unrelated to virtualQ's technology stack, products, or engineering practices and does not reasonably connect to telephony or a technology company's domain.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.1,The speed of light is a general physics constant and is not reasonably related to virtualQ's telephony technology stack or engineering practices.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.3,"While Genesys Cloud is a telephony platform and could be relevant to virtualQ's domain, the question is specifically about another company's product features, not virtualQ's technology or stack.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.3,"The question compares two external telephony platforms and does not directly relate to virtualQ's technology stack, products, or engineering practices.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,"Quantum computing is not directly related to virtualQ's telephony products, technology stack, or engineering practices, and there is no indication it is being asked in a context relevant to the company's operations.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,True,0.7,The question could be relevant if virtualQ uses Python in its technology stack and is evaluating web frameworks for internal services or APIs.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.1,"The question about making a chocolate cake is unrelated to virtualQ's technology stack, products, or engineering practices.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,True,0.85,"WebSockets are commonly used in telephony applications for real-time communication, which is relevant to virtualQ's technology stack and services.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,True,0.85,"Kubernetes pod scheduling is relevant to virtualQ's infrastructure and deployment practices, as it is a core aspect of managing containerized applications in a cloud-native telephony platform.",out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,True,0.85,"TCP and UDP are fundamental networking protocols that could be relevant to virtualQ's telephony systems, especially in real-time communication, API performance, or infrastructure design.",out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,True,0.85,"The question about legal criteria for third-party software could reasonably relate to virtualQ's compliance, security, or engineering practices when integrating external tools or services into their telephony platform.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.95,"The question asks about programming languages used at the company, which is directly relevant to virtualQ's technology stack and engineering practices.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.95,"The question asks about frameworks used in 'our system,' which likely refers to virtualQ's technology stack, making it directly relevant to the company's engineering practices and infrastructure.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,True,0.8,"The question relates to security and compliance practices, which are relevant to a telephony company like virtualQ, especially in regulated environments involving data privacy and infrastructure audits.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.95,The question about handling technical debt is relevant to software engineering practices at virtualQ and could reasonably pertain to their technology stack and development processes.,in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,True,0.95,"The question asks about scalability of virtualQ's system regarding performance and new locations, which directly relates to its infrastructure and architecture—core aspects of the company's technology stack.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,True,0.95,"The question about speech and intent recognition is highly relevant to a telephony company like virtualQ, as these technologies are core components of voice-driven customer interaction systems and likely part of their technology stack.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,True,0.95,"The question asks about the build and deployment process, which directly relates to virtualQ's CI/CD practices and software delivery pipeline, a core aspect of its engineering operations.",in_domain,en
Wie nutzen wir Mobile Device Management?,True,True,0.9,"The question about Mobile Device Management could reasonably relate to virtualQ's technology stack or internal engineering practices, especially if they manage mobile devices for employees or customers as part of their telephony services.",in_domain,en
Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?,True,True,0.9,"The question about machine learning algorithms in a forecasting engine could reasonably relate to virtualQ's telephony technology stack, especially if used for call volume prediction or resource allocation.",in_domain,en
Welche verschiedenen Optimizer bietet virtualQ an und was tun sie?,True,True,0.9,"The question asks about specific technical offerings (optimizers) from virtualQ, which could relate to their telephony platform's performance, routing, or resource management systems, making it relevant to their technology stack.",in_domain,en
Was ist die Hauptstadt von Frankreich?,False,False,0.1,The question about the capital of France is general knowledge and has no direct or indirect relevance to virtualQ's technology stack or business operations.,out_of_domain_general_knowledge,en
Wer hat den Roman 1984 geschrieben?,False,False,0.1,"The question about the author of the novel 1984 is unrelated to virtualQ's technology stack, products, or engineering practices and pertains to general literary knowledge.",out_of_domain_general_knowledge,en
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.1,"The speed of light is a general physics question with no direct or indirect relevance to virtualQ's telephony technology, products, or engineering practices.",out_of_domain_general_knowledge,en
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.2,"The question is about Genesys Cloud's features, which is unrelated to virtualQ's technology stack or products, and there is no indication of a direct connection to virtualQ's operations or integrations.",out_of_domain_other_company,en
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.2,"The question compares two external companies, Five9 and NICE inContact, which are not directly related to virtualQ's technology stack or products, making it unlikely to be in-domain.",out_of_domain_other_company,en
Erkläre Quantencomputing in einfachen Worten,False,False,0.1,"The question about quantum computing is a general technology topic with no direct or implied connection to virtualQ's telephony products, services, or technology stack.",out_of_domain_general_knowledge,en
Was sind die besten Python-Web-Frameworks?,False,True,0.7,The question could be relevant if virtualQ uses Python in its technology stack and is evaluating web frameworks for internal tools or services.,out_of_domain_general_tech,en
Wie backe ich einen Schokoladenkuchen?,False,False,0.1,"The question about baking a chocolate cake is unrelated to virtualQ's technology stack, products, or engineering practices.",out_of_domain_general_knowledge,en
Wofür werden WebSockets verwendet?,False,True,0.85,"WebSockets are commonly used in telephony applications for real-time communication, which is relevant to virtualQ's technology stack and services.",out_of_domain_general_tech,en
Erkläre Kubernetes-Pod-Scheduling,False,True,0.85,"Kubernetes pod scheduling is relevant to virtualQ's infrastructure and deployment practices, especially if they use containerized environments for their telephony services.",out_of_domain_general_tech,en
Was ist der Unterschied zwischen TCP und UDP?,False,True,0.85,"The question about TCP vs UDP is relevant to networking fundamentals that could apply to virtualQ's telephony infrastructure, especially in real-time communication protocols like VoIP.",out_of_domain_general_tech,en
