question,expected_in_domain,predicted_in_domain,score,rationale,category,language,model,prompt
What is the capital of France?,False,False,0.99,"The question asks for a general geography fact and is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of a literary novel, which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
What is the speed of light?,False,False,0.99,"The question asks a general physics fact unrelated to virtualQ, its products, technology, or telephony.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
Explain quantum computing in simple terms,False,False,0.99,"The question asks about quantum computing, which is unrelated to virtualQ's products, technology stack, or telephony domain.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
How do I make a chocolate cake?,False,False,0.99,"The question asks for a cooking recipe, which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
Was ist die Hauptstadt von Frankreich?,False,False,0.99,"The question asks for the capital of France, which is unrelated to virtualQ, its products, technology, or telephony.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
Wer hat den Roman 1984 geschrieben?,False,False,0.99,"The question asks about the author of the novel '1984', which is unrelated to virtualQ's products, technology, or telephony.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.99,"The question asks about the physical speed of light, which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
Erkläre Quantencomputing in einfachen Worten,False,False,0.99,"The question asks for a simple explanation of quantum computing, which is unrelated to virtualQ's products, technology stack, or telephony domain.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
Wie backe ich einen Schokoladenkuchen?,False,False,0.99,"The question asks for a chocolate cake recipe, which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,category
What are Genesys Cloud's main features?,False,False,0.96,"The question asks about Genesys Cloud, a competitor product, not about virtualQ or its technology stack.",out_of_domain_other_company,en,gpt-oss-120b-1,category
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.96,"The question asks about Genesys Cloud, a different company's product, not about virtualQ or its technology.",out_of_domain_other_company,en,gpt-oss-120b-1,category
