question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.7,The question could be relevant to understanding the legal and compliance requirements for integrating 3rd party software within virtualQ's technology stack.,in_domain,en
Which programming languages do we use?,True,True,0.9,The question about programming languages is directly relevant to understanding the technology stack and engineering practices at virtualQ.,in_domain,en
What are the central frameworks?,True,True,0.8,"The question about 'central frameworks' could reasonably relate to the technology stack and architecture of virtualQ, which is within the domain.",in_domain,en
What are internal and external audits and how do they differ?,True,True,0.7,"Understanding audits, both internal and external, is crucial for ensuring compliance, security, and best practices within a technology company like virtualQ.",in_domain,en
How is technical debt tracked and managed?,True,True,0.9,The question about tracking and managing technical debt is relevant to understanding engineering practices and the technology stack at virtualQ.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.9,"The question pertains to the scalability and performance of virtualQ's system, which is directly related to its technology stack and infrastructure.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.9,The question pertains to specific technologies (speech and intent recognition) that are likely integral to virtualQ's telephony solutions.,in_domain,en
How is the build and deployment process organized?,True,True,0.9,The question about the build and deployment process is directly relevant to understanding virtualQ's technology stack and engineering practices.,in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.8,"Mobile Device Management (MDM) is a technology relevant to managing devices that may interface with telephony services, thus it is pertinent to virtualQ's domain.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.9,"The question pertains to the technology stack and specific algorithms used by virtualQ, which is directly relevant to understanding their engineering practices and product capabilities.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.8,"The question pertains to specific offerings (optimizers) by virtualQ, which is relevant to understanding their technology stack and products.",in_domain,en
What is the capital of France?,False,False,0.1,The question about the capital of France is unrelated to virtualQ's technology stack or operations.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.1,The question about the author of the novel 1984 is unrelated to virtualQ's technology stack or operations.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.1,The speed of light is a fundamental physical constant and not directly related to virtualQ's technology stack or operations.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.2,"The question is about Genesys Cloud, which is a different telephony company, and not directly related to virtualQ's technology stack or features.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.2,The question is about comparing two third-party companies (Five9 and NICE inContact) and does not directly relate to virtualQ's technology stack or operations.,out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.2,"While quantum computing is a technology topic, it is not directly related to virtualQ's specific technology stack or telephony services.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,True,0.7,The question about Python web frameworks could be relevant to someone at virtualQ who is considering technology choices for web-based components or integrations.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.1,"The question about making a chocolate cake is unrelated to the technology stack, products, or operations of virtualQ.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,True,0.8,"WebSockets are a technology that could be relevant to virtualQ's telephony solutions, particularly for real-time communication features.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,True,0.9,"Understanding Kubernetes pod scheduling is relevant for someone working with virtualQ's technology stack, especially in deployment and infrastructure management.",out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,True,0.8,Understanding the difference between TCP and UDP is relevant for network engineering and could be important for someone working with virtualQ's telephony technology stack.,out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,True,0.7,"The question about legal criteria for third-party software is relevant to a technology company like virtualQ, which may need to integrate or use such software in its technology stack.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.9,The question about programming languages used is directly relevant to understanding virtualQ's technology stack and engineering practices.,in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.9,The question about frameworks used in the system is directly relevant to understanding virtualQ's technology stack and engineering practices.,in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,True,0.7,"The question about internal and external audits could be relevant to understanding virtualQ's security/compliance practices, which are part of their technology stack.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.8,"The question about handling Technical Debt is relevant to understanding engineering practices at virtualQ, which is within the specified domain.",in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,True,0.9,"The question pertains to the scalability of virtualQ's system, which is directly related to its technology stack and performance, making it highly relevant to the domain.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,True,0.9,"The question pertains to the use of speech recognition and intent detection within virtualQ's system, which is directly related to telephony and the technology stack of the company.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,True,0.9,The question about the build and deployment process is directly related to the technology stack and engineering practices at virtualQ.,in_domain,en
Wie nutzen wir Mobile Device Management?,True,True,0.8,"The question about Mobile Device Management could be relevant to the technology stack and security practices at virtualQ, especially if they manage employee devices or integrate with mobile solutions.",in_domain,en
Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?,True,True,0.9,"The question pertains to the specific technology stack and machine learning algorithms used by virtualQ, which is directly relevant to understanding their forecasting engine.",in_domain,en
Welche verschiedenen Optimizer bietet virtualQ an und was tun sie?,True,True,0.9,"The question asks about specific offerings (Optimizers) and their functions, which is relevant to understanding virtualQ's technology stack and products.",in_domain,en
Was ist die Hauptstadt von Frankreich?,False,False,0.0,The question about the capital of France is unrelated to virtualQ's technology stack or operations.,out_of_domain_general_knowledge,en
Wer hat den Roman 1984 geschrieben?,False,False,0.1,The question about the author of the novel '1984' is unrelated to virtualQ's technology stack or operations.,out_of_domain_general_knowledge,en
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.1,The question about the speed of light is a general physics question and not directly related to virtualQ's technology stack or operations.,out_of_domain_general_knowledge,en
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.2,"The question is about Genesys Cloud, which is a different telephony company, and not directly related to virtualQ's technology stack or products.",out_of_domain_other_company,en
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.1,The question compares two third-party companies (Five9 and NICE inContact) and does not directly relate to virtualQ's technology stack or operations.,out_of_domain_other_company,en
Erkläre Quantencomputing in einfachen Worten,False,False,0.1,The question about quantum computing is too general and not directly related to virtualQ's specific technology stack or telephony domain.,out_of_domain_general_knowledge,en
