question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.0,Judge JSON parse failed.,in_domain,en
Which programming languages do we use?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What are the central frameworks?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What are internal and external audits and how do they differ?,True,False,0.0,Judge JSON parse failed.,in_domain,en
How is technical debt tracked and managed?,True,True,0.9,"The question pertains to engineering practices at virtualQ, specifically how technical debt is tracked and managed, which is within the domain of a technology company.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.95,"The question pertains to the scalability and performance of the virtualQ system, which is directly related to the technology stack and infrastructure of the telephony company.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,False,0.0,Judge JSON parse failed.,in_domain,en
How is the build and deployment process organized?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.9,"The question pertains to the technology stack and specific algorithms used by virtualQ, which is within the domain of the company's technology and engineering practices.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.9,"The question pertains to specific offerings (optimizers) and their functionalities within virtualQ's technology stack, which is directly related to the company's products and engineering practices.",in_domain,en
What is the capital of France?,False,False,0.0,The question about the capital of France is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.0,The question about the author of the novel 1984 is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.0,The question about the speed of light is a general knowledge inquiry and not related to the telephony company virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.0,Judge JSON parse failed.,out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,The question is about comparing two third-party companies (Five9 and NICE inContact) and does not pertain to virtualQ's technology stack or related topics.,out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.0,The question about making a chocolate cake is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_tech,en
