questions, answer
What are the legal criteria for 3rd party software?, virtualQ evaluates third-party software based on strict legal and compliance requirements focused on GDPR-aligned data privacy license compatibility IP protection and regulatory adherence. Software must ensure clear data locality secure handling and proper inclusion in DPAs. All licenses—especially open source—must allow unrestricted commercial use and not threaten virtualQ’s IP rights. Tools are checked for long-term support security (via audits Snyk) and must avoid outdated or risky components. Preference is given to portable industry-standard technologies to prevent vendor lock-in.,
Which programming languages do we use?, The virtualQ system is built using a diverse technology stack with Ruby(43%) making up the largest portion of the codebase followed by HTML/JavaScript(24%) Python(11%) .NET/C#(9%) and Elixir(7%). The remaining share consists of other technologies such as Terraform templates.,
What are the central frameworks?, The system uses Ruby on Rails as its primary backend framework and React with Redux for the frontend. Rails handles data processing storage and API or UI interactions while React provides the component-based UI structure and Redux manages centralized application state.
What are internal and external audits and how do they differ?, Internal audits focus on code quality design verification and vulnerability detection using automated tools like Debricked and Snyk mainly in non-production environments. They are part of ongoing development processes. External audits performed by independent partners include penetration tests that simulate real attacks to validate the security of customer-facing systems. In essence internal audits proactively maintain code and process integrity while external audits provide independent assurance of virtualQ’s overall security posture.,
What are acd connectors?, ACD Connectors are on-site runtime libraries that link a customer’s ACD system with the virtualQ platform enabling two-way communication such as sending real-time agent data and executing call commands. They support Avaya and Voxtron systems but are no longer actively developed and only maintained for compatibility. Testing and maintenance are done using dedicated Avaya and Voxtron lab environments in AWS. Current deployments span several customers and because of their separate technical stack connectors must be tested manually with ad-hoc test plans which is sufficient given their maintenance-only status.,
How is reliability and compliance achieved?, Reliability and compliance are ensured through security-by-design principles based on the CIAAN model strict adherence to regulatory frameworks strong data protection measures and operational excellence. Security is integrated into every architectural decision to protect sensitive data. The system aligns with major standards such as GDPR ISO 27001 and health and critical infrastructure regulations supported by internal and external audits. Data is safeguarded through encryption strict access controls and audit logging. Close coordination between product and engineering teams ensures stable secure features that meet enterprise requirements.,
How is security and performance ensured?, Security and performance are ensured through a holistic integrated approach that combines robust technical safeguards strict regulatory compliance disciplined operational practices and continuous improvement. Core security principles such as confidentiality integrity availability authenticity and nonrepudiation guide the system’s design while sensitive data is protected through strong encryption and tightly controlled access. Compliance with major standards including GDPR HIPAA ISO 27001 PCI-DSS KRITIS NIS2 and SGB is achieved both directly and through certified third party services. Ongoing protection is reinforced through regular external penetration tests automated security scans and manual audits. Secure development is maintained via mandatory code reviews standardized CI/CD pipelines and comprehensive internal documentation ensuring that all changes are delivered reliably and safely.,
How do we achieve cost-efficiency?, Cost efficiency is achieved through strategic infrastructure choices extensive automation smart use of managed services and continuous optimization as cloud capabilities evolve. By leveraging managed services operational overhead and labor costs are reduced while infrastructure is regularly reassessed for efficiency. Automated CI/CD pipelines and Infrastructure as Code streamline deployments and eliminate repetitive manual work. Infrastructure is optimized through consolidation on AWS adherence to Well Architected best practices and routine cost reviews. Strict access controls help prevent costly mistakes and a loosely coupled architecture minimizes downtime and allows components to scale independently. Proactive monitoring and alerting enable early detection of issues while a strong focus on reducing labor intensive tasks increases team productivity and lowers overall costs.,
How do we achieve extensibility?, Extensibility is achieved through a modular architecture and disciplined organizational practices that allow the system to adapt and grow without disrupting existing functionality. Components are designed with high cohesion and low coupling so they can be extended or replaced independently while feature flags enable customer specific behavior from a single codebase. Configuration rather than customization ensures one unified product that remains easy to maintain. Clear ownership with co owners prevents knowledge silos and supports sustainable evolution. Technology choices are carefully controlled to ensure new tools add value without compromising architecture. The system is also built to scale across performance needs geographic regions and operational demands. Together these practices create a flexible maintainable and highly extensible platform.,
What is the corporate data flow?, The corporate data flow describes how information moves between product corporate internal and external systems with clear directionality showing whether data is pushed or pulled. Data sent from the core system to BigQuery is always redacted so no PII leaves the product environment. Access to production systems is tightly controlled and granted only when there is a justified business need which means engineers may receive temporary access while roles like marketing do not. This structured flow supports GDPR compliance strong access control and safe handling of customer data while maintaining business continuity and auditability.,
How is Bigquery used in our system?, BigQuery serves as the central analytics database in the virtualQ data platform on GCP. It collects all reporting relevant data including select data extracted from third party systems. ETL workflows run through Google Composer transform this data before it is stored in BigQuery. Power BI connects directly to BigQuery for reporting and visualization. Any data coming from the Core system is redacted to remove PII ensuring strong privacy and compliance. Overall BigQuery provides a secure scalable foundation for data integration transformation and analytics.,
How do we ensure that no PII Data can be accessed by someone who is not supposed to be able to do so?, We protect PII using a defense in depth strategy that combines strict access control strong network security encryption and continuous monitoring. Access to PII systems follows least privilege with RBAC MFA user group separation and time limited just in time permissions. All PII processing environments are isolated in private networks with no public exposure and are reachable only through secure VPN connections bastion hosts or managed sessions with IP restrictions. PII is always encrypted both in transit with TLS and at rest with strong encryption standards and tightly controlled key management. Comprehensive logging auditing and real time monitoring ensure that all access to PII is tracked and that suspicious activity is detected quickly providing strong protection against unauthorized access.,
how do we know which code is tested?, We track which parts of the code are tested through code coverage analysis using CodeCov which shows exactly which lines functions and modules are exercised by automated tests. Coverage data highlights well tested areas and exposes weak spots so teams know where to improve. All tests run automatically during the build process and failing tests stop the pipeline ensuring only verified code is deployed. Unit tests check individual components while integration tests validate interactions between core modules and external systems. Tests run on every change and on schedules to catch regressions and teams review coverage reports to monitor progress. Frontend coverage is currently lower due to legacy UI frameworks but will improve as these are updated. Overall CodeCov plus automated testing in the CI CD pipeline provides clear insight into what code is tested and what is not.,
What is the organizational structure of virtualQ?, VirtualQ operates with a lean specialized leadership team of six roles each with clear responsibilities including the CEO CRO Head of Marketing Head of Product Team Lead of Customer Success and Head of Engineering. This mature structure replaces earlier overlapping roles and supports scalability and enterprise focused strategy. Governance includes weekly management standups and quarterly planning sessions. Strong collaboration between Product and Engineering ensures quality and operational excellence with a focus on scalability security and compliance. The company uses DevOps and Infrastructure as Code along with managed cloud services to enable automated operations with only a small team of infrastructure experts. Overall the organization is optimized for agility enterprise grade delivery and efficient cloud based operations.,
Which different optimizers are offered by virtualQ and what do they do?, VirtualQ provides a range of optimizers which are algorithms used to calculate caller waiting times in its intelligent callback system. Each optimizer fits different levels of data availability and customer goals. The Flexible Optimizer adapts to partial real time data while the Dynamic Optimizer relies on live ACD data to adjust callbacks instantly. The Predictive Optimizer uses machine learning with historical and real time inputs to forecast wait times and schedule callbacks proactively. The proprietary virtualQ Algorithm offers a general solution when deeper integrations are not possible and the Static Optimizer uses fixed rules for environments with little or no real time data. Automated variants such as the Automated Flexible Optimizer and Automated Predictive Optimizer further reduce manual setup and improve adaptation over time. Together these options let virtualQ support customers across a wide range of integration depths and data richness.,
How do I know which of the optimizers that virtualQ offers to use?, To choose the right virtualQ optimizer you focus on three factors your goal your data and your need for automation. First define what you want to achieve. If you want to reduce peak congestion select the Flexible Optimizer the Dynamic Optimizer or the Predictive Optimizer. If you want accurate callback time estimates choose the Predictive Optimizer or the Static Optimizer. If you want simple precise waiting time calculations choose the virtualQ Algorithm or the Static Optimizer. Second assess your data connectivity. If you have real time data from your contact center you can use the Dynamic Optimizer the Predictive Optimizer or the virtualQ Algorithm. If you do not have live data you should use the Flexible Optimizer or the Static Optimizer. Third decide whether you want auto tuning. If you want a system that adjusts itself automatically you can use automated versions such as the Automated Flexible Optimizer or the Automated Predictive Optimizer.,
What does the vds do?,The Virtual Data Scientist also known as Autopilot is a self learning component that uses prediction and simulation engines to automatically adjust configuration settings without manual work. It forecasts future load patterns applies machine learning to optimize performance and drives autonomous optimizers such as the Automated Predictive Optimizer and the Automated Flexible Optimizer. By improving the accuracy of callback timing and reducing rescheduling it enhances caller satisfaction. Overall it functions as an intelligent self tuning system that automates complex data driven decisions in dynamic environments.,
How do we protect our system?, We protect our system using a multilayered security model that combines strong technical controls compliance standards and operational best practices. Sensitive data is safeguarded through encryption in transit and at rest along with strict data minimization and least privilege access. System access follows a zero trust approach with continuous verification session timeouts and clearly defined role based permissions. All employee devices are secured through mobile device management which enforces passwords full disk encryption remote lock and wipe automated enrollment and ongoing compliance monitoring. Internal systems are shielded through segmentation and logging while external systems are hardened monitored and protected by firewalls web application firewalls and DDoS defenses. This comprehensive approach ensures robust protection of both infrastructure and data.,
How do we ensure SGB compliance?, VirtualQ ensures SGB compliance by applying strict technical organizational and legal safeguards tailored for highly sensitive social and health related data in Germany. All sensitive information is encrypted in transit and at rest using customer controlled encryption keys so neither virtualQ nor cloud providers can access plaintext data and end to end encryption is used when required. Access to systems follows a zero trust model with least privilege multi factor authentication role based controls just in time access and regular reviews ensuring that even internal staff cannot view protected data. Data is minimized and used only for clearly defined lawful purposes under SGB rules. All subprocessors must meet SGB level security and are bound through rigorous data processing agreements. Together these measures provide a strong protection framework that exceeds standard GDPR or C5 requirements and supports high sensitivity customers such as healthcare organizations.










