"questions","answer"
"Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?","virtualQ bewertet Drittanbieter-Software anhand strenger rechtlicher und Compliance-Anforderungen mit Fokus auf DSGVO-konforme Datenschutzrichtlinien und Lizenzkompatibilität. Alle Lizenzen insbesondere Open Source müssen eine uneingeschränkte kommerzielle Nutzung erlauben und dürfen die IP-Rechte von virtualQ nicht gefährden. Tools werden auf Langzeitunterstützung und Sicherheit (durch Audits wie Snyk) geprüft und müssen veraltete oder risikobehaftete Komponenten vermeiden."
"Welche Programmiersprachen werden bei uns verwendet?","Das virtualQ-System basiert auf einem vielfältigen Technologie-Stack wobei Ruby (43%) den größten Anteil der Codebasis ausmacht gefolgt von HTML/JavaScript (24%) Python (11%) .NET/C# (9%) und Elixir (7%). Der verbleibende Anteil besteht aus anderen Technologien wie Terraform-Templates."
"Welche Frameworks werden genutzt?","Das System verwendet Ruby on Rails als primäres Backend-Framework und React mit Redux für das Frontend."
"Was sind interne und externe Audits und wie unterscheiden sie sich?","Interne Audits konzentrieren sich auf Codequalität Designverifizierung und Schwachstellenerkennung mithilfe automatisierter Tools wie Debricked und Snyk. Externe Audits werden von Partnerunternehmen durchgeführt und umfassen Penetration Testing das reale Angriffe simuliert um die Sicherheit kundenseitiger Systeme zu überprüfen."
"Wie wird sichergestellt dass alle Deployments höchsten Qualitätsstandardds entsprechen?","Builds und Deployments folgen einer automatisierten CI/CD-Pipeline. Neue Features werden in Feature-Branches implementiert und müssen von einem anderen Teammitglied über Pull Requests genehmigt werden bevor sie in die Hauptcodebasis gemergt werden. Die vollständige Testsuite wird während des Build-Prozesses ausgeführt und ein fehlgeschlagener Test stoppt die Pipeline."
"Inwiefern nutzen sie Mobile Device Management?","Mobile Device Management wird verwendet um alle Mitarbeitergeräte durch Durchsetzung verbindlicher Standards wie starken Passwörtern vollständiger Festplattenverschlüsselung Remote-Sperr- und Löschfunktionen automatischer Registrierung und laufender Compliance-Überwachung zu sichern. Dies stellt sicher dass die physische IT-Infrastruktur von virtualQ die im Wesentlichen auf Laptops Monitore und Mobiltelefone beschränkt sicher ist."
"Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?","Die Forecasting-Engine nutzt ein  Ensemble-Model das mehrere Algorithmen kombiniert darunter Autoregressive Integrated Moving Average oder ARIMA und Exponential Smoothing oder ETS. Außerdem werden Rolling-Window Deep Neural Networks basierend auf Long Short-Term Memory und Gated Recurrent Unit Architekturen verwendet sowie Random Cut Forests in Kombination mit Motive Pooling einem eigenen ML-Algorithmus und Naive-Modelle wie die Durchschnittsbildung vergangener Daten. Die genauen Parameter des Ensembles werden durch Training bestimmt. Die Forecasting-Engine arbeitet mit einer Simulations-Engine zusammen die den Non-dominated Sorting Genetic Algorithm NSGA-II verwendet um optimale Optimizer-Konfigurationsparameter zu finden."
"Was bringt Call-Preparation?","Agenten können sich bereits vor dem Callback informieren, was der Anrufer möchte. Dies führt zu kürzeren Anrufen da Informationen vorher eingeholt werden können und zu stark erhöhter Anrufer Zufriedenheit da der Agent kompetent und vorbereitet agiert."
"Wie viele Minuten sind im M Paket von Call-Preparation enthalten?","Im M-Paket von Call Preparation sind 20.000 Anrufe enthalten."
"Welche Probleme hat der Appointment-Bot?","Der Appointment-Bot hat viele ""not understood"" Fälle mit wirrem Benutzer Input und der Bot hört sich teilweise selbst zu. Außerdem sind Termine nur in 30 Minuten Schritten verfügbar."
"Wie ist das Wetter?","Ich kann bei Fragen zu virtualQ und seinem Technologie-Stack helfen. Bitte stellen Sie eine diesbezügliche Frage."
"Was sind die besten neuen Grafikkarten die Sie anbieten?","Ich kann bei Fragen zu virtualQ und seinem Technologie-Stack helfen. Bitte stellen Sie eine diesbezügliche Frage."
