experiment,questions_file,model_id,query_prompt,answer_prompt,judge_prompt,question,faithfulness_score,answer_relevancy_score,contextual_relevancy_score,contextual_recall_score,contextual_precision_score,num_context_chunks
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,1.0,0.8,0.8421052631578947,0.0,0.7000000000000001,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,Which programming languages do we use?,1.0,0.9090909090909091,0.13793103448275862,1.0,0.8333333333333333,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the central frameworks?,1.0,1.0,0.2903225806451613,0.0,1.0,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,1.0,0.3793103448275862,0.75,1.0,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,How is the weather?,1.0,1.0,0.0,0.0,0.25,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,1.0,0.0,0.5,1.0,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,1.0,1.0,0.5625,0.0,0.7000000000000001,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,Which programming languages do we use?,1.0,1.0,0.14285714285714285,1.0,0.8333333333333333,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the central frameworks?,0.5,1.0,0.25,1.0,0.5,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,1.0,0.26666666666666666,1.0,0.95,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,How is the weather?,1.0,1.0,0.0,0.0,0.0,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,1.0,0.0,0.5,1.0,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,1.0,1.0,0.8666666666666667,0.0,0.7000000000000001,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,Which programming languages do we use?,1.0,0.8333333333333334,0.13793103448275862,1.0,0.8333333333333333,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are the central frameworks?,1.0,1.0,0.25,1.0,0.5,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,1.0,0.4230769230769231,1.0,1.0,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,How is the weather?,1.0,1.0,0.0,0.0,0.25,5
engineer_public_confidential_q_default_a_qa_terse_j_default,src/evaluation/questions_short_confidential.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,1.0,0.0,0.5,0.0,5
engineer_public_confidential_q_default_a_qa_terse_j_lenient,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,lenient,What are the legal criteria for 3rd party software?,1.0,1.0,0.8333333333333334,0.0,0.7000000000000001,5
engineer_public_confidential_q_default_a_qa_terse_j_lenient,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,lenient,Which programming languages do we use?,1.0,0.9090909090909091,0.13793103448275862,1.0,0.8333333333333333,5
engineer_public_confidential_q_default_a_qa_terse_j_lenient,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,lenient,What are the central frameworks?,1.0,0.8333333333333334,0.375,1.0,0.5,5
engineer_public_confidential_q_default_a_qa_terse_j_lenient,src/evaluation/questions_short_confidential.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,lenient,What are internal and external audits and how do they differ?,1.0,0.8888888888888888,0.3793103448275862,1.0,1.0,5
