question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.3,"The question is about general legal criteria for third-party software, which is not specific to virtualQ's technology stack or practices.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about programming languages used at virtualQ, which is directly related to its technology stack and engineering practices.",in_domain,en
What are the central frameworks?,True,True,0.8,"The question likely refers to central frameworks used by virtualQ, which could pertain to its technology stack or software architecture, making it relevant to the domain.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.1,"The question is a general inquiry about audit types and does not specifically relate to virtualQ or its technology, practices, or infrastructure.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,"The question pertains to engineering practices at virtualQ, specifically how technical debt is managed, which is relevant to the company's software development and technology operations.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.95,"The question asks about the scalability of virtualQ's system for performance and new locations, which directly relates to its infrastructure and architecture—core aspects of the company's technology stack.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.95,"The question asks about speech and intent recognition technologies within the system, which are relevant to virtualQ's telephony platform and its underlying technology stack.",in_domain,en
How is the build and deployment process organized?,True,True,0.95,"The question asks about the build and deployment process, which is part of virtualQ's CI/CD and engineering practices, falling within the domain of the company's technology stack and operations.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.3,"The question is about Mobile Device Management in general, not specifically about virtualQ's use or implementation of it.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.95,"The question asks about machine learning algorithms in a forecasting engine, which is likely part of virtualQ's technology stack for telephony-related predictions or analytics.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.95,"The question asks about specific technical components (optimizers) offered by virtualQ, which relates to its technology stack and products.",in_domain,en
What is the capital of France?,False,False,0.0,The question is about general knowledge and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.0,The question about the author of the novel '1984' is unrelated to virtualQ or its technology stack and falls outside the defined domain.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.0,The question about the speed of light is a general physics topic and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.1,"The question is about Genesys Cloud, a different company, not virtualQ or its technology stack.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,"The question compares two external telephony companies, Five9 and NICE inContact, and does not pertain to virtualQ's technology stack or products.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,"The question is about quantum computing in general, which is unrelated to virtualQ's technology stack or telephony services.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.1,The question is a general inquiry about Python web frameworks and is not specifically related to virtualQ or its technology stack.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.0,"The question is about baking a chocolate cake, which is unrelated to virtualQ or its technology stack.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.3,The question is a general technology inquiry about WebSockets and does not specifically reference virtualQ or its use of the technology.,out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,False,0.1,The question is a general technical inquiry about Kubernetes and not specifically related to virtualQ's technology stack or telephony services.,out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.1,The question is a general networking topic and not specifically about virtualQ's technology stack or telephony systems.,out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,False,0.75,"Die Frage bezieht sich auf rechtliche Kriterien für Drittanbieter-Software, was im Kontext von virtualQ auf Compliance und Sicherheitspraktiken im Umgang mit externen Technologien hinweisen könnte.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.95,"The question asks about programming languages used at virtualQ, which is directly related to the company's technology stack and engineering practices.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.95,"Die Frage bezieht sich auf die verwendeten Frameworks im System von virtualQ, was direkt zur Technologie-Stack-Domäne des Unternehmens gehört.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,False,0.1,Die Frage bezieht sich auf ein allgemeines Konzept von Audits und nicht spezifisch auf Audits bei virtualQ oder dessen Technologie-Stack.,in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.95,"The question asks about how technical debt is managed, which is a software engineering practice relevant to virtualQ's technology stack and development processes.",in_domain,en
