question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.1,"The question about legal criteria for 3rd party software is too generic and not specifically tied to virtualQ's technology, products, or engineering practices.",in_domain,en
Which programming languages do we use?,True,False,0.95,"The question asks about programming languages used at virtualQ, which is directly related to its technology stack and engineering practices.",in_domain,en
What are the central frameworks?,True,False,0.3,"The question 'What are the central frameworks?' is too vague and lacks specific reference to virtualQ or its technology stack, making it unclear if it pertains to the domain.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.1,"The question is a general inquiry about audit types and does not specifically relate to virtualQ's technology, products, or engineering practices.",in_domain,en
How is technical debt tracked and managed?,True,False,0.95,"The question asks about engineering practices at virtualQ related to technical debt management, which falls within the domain of the company's technology and development processes.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,False,0.95,"The question asks about the scalability of virtualQ's system for performance and new locations, which directly relates to its infrastructure and architecture within the defined domain.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,False,0.95,"The question asks about speech and intent recognition technologies within the system, which are relevant to virtualQ's telephony products and AI-driven call handling capabilities.",in_domain,en
How is the build and deployment process organized?,True,False,0.95,"The question asks about the build and deployment process, which is directly related to virtualQ's CI/CD pipeline and engineering practices within the domain of its technology stack.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.1,The question is a general inquiry about Mobile Device Management and not specifically related to virtualQ or its technology stack.,in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,False,0.95,"The question asks about machine learning algorithms in a forecasting engine, which is likely part of virtualQ's technology stack related to telephony services or infrastructure.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,False,0.1,"The question refers to 'optimizers' in a way that is not clearly related to virtualQ's known telephony or technology stack, and no such product or feature is known to be offered by virtualQ.",in_domain,en
What is the capital of France?,False,False,0.0,The question is about general knowledge and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.0,The question about the author of the novel '1984' is unrelated to virtualQ or its technology stack and falls outside the defined domain.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.0,The question about the speed of light is a general physics query and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.1,"The question is about Genesys Cloud, a different company, and not about virtualQ or its technology stack.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,"The question compares two external telephony companies, Five9 and NICE inContact, and does not pertain to virtualQ's technology stack or products.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,"The question is about quantum computing in general, which is unrelated to virtualQ's technology stack or telephony services.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.1,The question is a general inquiry about Python web frameworks and is not specifically related to virtualQ or its technology stack.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.0,"The question is about baking a chocolate cake, which is unrelated to virtualQ or its technology stack.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.1,The question is a general technology inquiry about WebSockets and does not specifically relate to virtualQ or its telephony technology stack.,out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,False,0.1,The question is a general technical inquiry about Kubernetes and not specifically related to virtualQ's technology stack or telephony services.,out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.1,The question is a general networking topic and not specifically about virtualQ's technology stack or telephony systems.,out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,False,0.3,"The question asks about legal criteria for third-party software in general, which is not specific to virtualQ's technology stack, products, or engineering practices.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,False,0.95,"The question asks about programming languages used at virtualQ, which is directly related to the company's technology stack and engineering practices.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,False,0.95,"The question asks about frameworks used in 'our system', which refers to virtualQ's technology stack based on the domain context.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,False,0.1,"The question is a general inquiry about internal and external audits and does not specifically relate to virtualQ's technology, products, or practices.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,False,0.95,"The question asks about how technical debt is managed at virtualQ, which relates to the company's engineering practices and software development processes within the telephony technology domain.",in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,False,0.95,"The question asks about the scalability of virtualQ's system regarding performance and new locations, which directly relates to virtualQ's infrastructure and architecture.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,False,0.95,"Die Frage bezieht sich auf die Verwendung von Sprach- und Intent-Erkennung im System, was auf die Technologie-Stack und Funktionsweise von virtualQ im Bereich Telekommunikation hinweist.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,False,0.95,"Die Frage bezieht sich auf den Build- und Deployment-Prozess, was direkt zum Technologiestack und den Engineering-Praktiken von virtualQ gehört.",in_domain,en
Wie nutzen wir Mobile Device Management?,True,False,0.95,"The question asks about Mobile Device Management usage at virtualQ, which relates to the company's infrastructure and security practices within the telephony technology domain.",in_domain,en
