question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.78,"The question concerns legal/compliance criteria for using third‑party software, which is relevant to a tech company's stack and practices, though it is not specific to virtualQ itself.",in_domain,en
Which programming languages do we use?,True,True,0.97,"The question asks about the programming languages used by virtualQ, which is a direct inquiry about the company's technology stack.",in_domain,en
What are the central frameworks?,True,False,0.2,"The question is vague and lacks any reference to virtualQ or its technology, making it unlikely to be about the company's specific frameworks.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.9,"The question asks about general audit concepts, not about virtualQ, its products, or its specific technology stack.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,"The question asks about how virtualQ tracks and manages technical debt, which is an internal engineering practice specific to the company.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.98,"The question directly asks about how virtualQ’s system scales for performance and new locations, which pertains to its architecture and scaling practices, clearly within the domain.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.85,"The question asks about how speech and intent recognition are used, which likely refers to virtualQ's telephony platform and its product features.",in_domain,en
How is the build and deployment process organized?,True,True,0.9,"The question asks about the organization of the build and deployment process, which falls under virtualQ's deployment/CICD practices and is therefore in-domain.",in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.78,"MDM is a general technology that could be part of virtualQ's device management stack, making it relevant but not specific to virtualQ.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,False,0.85,"The question asks about generic machine learning algorithms for a forecasting engine without mentioning virtualQ, so it is not specific to virtualQ's products or stack.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.98,"The question asks about specific virtualQ offerings (optimizers), which directly pertains to virtualQ's products.",in_domain,en
What is the capital of France?,False,False,0.99,"The question asks for a general geography fact and is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of a literary novel, which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
