question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.78,"The question about legal criteria for third‑party software could pertain to compliance, licensing, and security practices relevant to virtualQ's technology stack and integrations.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about the programming languages used, which directly pertains to virtualQ's technology stack.",in_domain,en
What are the central frameworks?,True,False,0.7,"The vague question could be interpreted as asking about the main software frameworks used by virtualQ's telephony platform, which fits the domain.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.78,"Audits pertain to security and compliance, which are explicitly listed as part of virtualQ's domain, so the question is reasonably relevant.",in_domain,en
How is technical debt tracked and managed?,True,True,0.9,Technical debt tracking and management is an engineering practice that could be directly relevant to virtualQ's development processes.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.98,"The question asks about how virtualQ scales for performance and new locations, which directly pertains to its architecture and infrastructure.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,False,0.78,"The question asks about speech and intent recognition, which are likely components of virtualQ's telephony platform, so it plausibly relates to their technology stack.",in_domain,en
How is the build and deployment process organized?,True,True,0.9,"The question asks about build and deployment organization, which directly relates to virtualQ's deployment/CICD practices covered in the domain.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.2,Mobile Device Management is a general IT concept not specifically tied to virtualQ's telephony products or technology stack.,in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,False,0.68,"The question could refer to virtualQ's forecasting engine for telephony traffic, making it reasonably relevant to virtualQ's technology stack.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.95,"The question asks about specific features (optimizers) offered by virtualQ, which pertains to its products/technology stack.",in_domain,en
What is the capital of France?,False,True,0.99,"The question asks about a general geography fact unrelated to virtualQ's telephony technology, products, or engineering.",out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,True,0.99,"The question asks about the author of a literary novel, which is unrelated to virtualQ's telephony technology, products, or engineering practices.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.05,"The question asks about a fundamental physics constant and does not relate to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.1,"The question asks about Genesys Cloud's features, which pertains to a different telephony company rather than virtualQ.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.15,"The question compares two other telephony providers and does not ask about virtualQ's products, technology, or practices.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.05,"The question asks about quantum computing, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.2,The question is a generic request for Python web frameworks and does not specifically relate to virtualQ's telephony technology or stack.,out_of_domain_general_tech,en
