question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.0,Judge JSON parse failed.,in_domain,en
Which programming languages do we use?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What are the central frameworks?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What are internal and external audits and how do they differ?,True,False,0.0,Judge JSON parse failed.,in_domain,en
How is technical debt tracked and managed?,True,False,0.0,Judge JSON parse failed.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,False,0.95,"The question specifically asks about the scalability of virtualQ's system, which is directly related to its products and technology stack.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,False,0.0,Judge JSON parse failed.,in_domain,en
How is the build and deployment process organized?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,False,0.0,Judge JSON parse failed.,in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What is the capital of France?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.0,Judge JSON parse failed.,out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.0,Judge JSON parse failed.,out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,"The question about quantum computing is not directly related to virtualQ's telephony products, technology stack, or domain.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.0,Judge JSON parse failed.,out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,False,0.0,Judge JSON parse failed.,in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,False,0.0,Judge JSON parse failed.,in_domain,en
