question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.7,"The question pertains to legal/compliance criteria for third‑party software, which is relevant to virtualQ's security/compliance practices and is a reasonable query for a technology company.",in_domain,en
Which programming languages do we use?,True,False,0.95,"The question asks about the programming languages used, which pertains to virtualQ's technology stack and is therefore within the defined domain.",in_domain,en
What are the central frameworks?,True,False,0.85,"The question is generic and does not reference virtualQ or its technology stack, making it likely out of scope.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.95,"The question asks about general internal and external audits without referencing virtualQ or its technology, making it unrelated to the specified domain.",in_domain,en
How is technical debt tracked and managed?,True,False,0.96,The question is a generic inquiry about technical debt management and does not reference virtualQ or its specific technology stack.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,False,0.99,"The question asks about how virtualQ's system scales for performance and new locations, which directly pertains to virtualQ's architecture and infrastructure.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,False,0.2,"The question asks about speech and intent recognition generally without mentioning virtualQ, so it likely falls outside the specific virtualQ technology scope.",in_domain,en
How is the build and deployment process organized?,True,False,0.95,"The question asks about a generic build and deployment process without referencing virtualQ, which is required for in-domain classification.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.05,"The question asks about Mobile Device Management in general, not specifically about virtualQ or its telephony technology stack.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,False,0.2,"The question asks about machine learning algorithms in a forecasting engine without mentioning virtualQ, so it likely falls outside the virtualQ-specific domain.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,False,0.97,"The question asks about specific virtualQ technology (optimizers) and their functions, which falls within the scope of virtualQ's product and tech stack.",in_domain,en
What is the capital of France?,False,False,0.99,The question asks for a general knowledge fact unrelated to virtualQ's telephony technology or services.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of a novel, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.99,"The question asks for a general scientific fact and does not relate to virtualQ's telephony technology, products, or infrastructure.",out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.99,"The question asks about Genesys Cloud, which is a different telephony company, not virtualQ.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.99,"The question asks about comparing Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.99,"The question asks about quantum computing, which is unrelated to virtualQ's telephony technology or its infrastructure.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology or any of its products, infrastructure, or engineering practices.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.95,"The question asks about general WebSocket usage, not specifically about virtualQ or its telephony technology stack.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,False,0.95,"The question asks about general Kubernetes pod scheduling, not about virtualQ's products, infrastructure, or specific use of Kubernetes within virtualQ.",out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.99,"The question asks about general networking protocols (TCP vs UDP) and does not relate to virtualQ's products, infrastructure, or technology stack.",out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,False,0.95,"The question asks about general legal criteria for third‑party software, not specifically about virtualQ's products, technology, or practices.",in_domain,en
