question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.1,"The question is about general legal criteria for third-party software, which is not specific to virtualQ or its technology stack and falls outside the domain of telephony or virtualQ's engineering practices.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about programming languages used by 'we', which refers to virtualQ based on the context, making it directly about the company's technology stack.",in_domain,en
What are the central frameworks?,True,True,0.9,"The question asks about 'central frameworks,' which likely refers to core software frameworks used by virtualQ, making it directly related to the company's technology stack.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.1,"The question is about general audit concepts and not specific to virtualQ's technology, products, or telephony domain.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,"The question asks about how technical debt is tracked and managed, which pertains to engineering practices within virtualQ's development lifecycle.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,1.0,"The question directly asks about virtualQ's system scalability, which pertains to its architecture and infrastructure, both core aspects of the company's technology stack.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.9,Speech and intent recognition are key components in telephony systems like those used by virtualQ for call routing and automated customer service.,in_domain,en
How is the build and deployment process organized?,True,True,0.95,"The question asks about the build and deployment process, which is directly related to virtualQ's engineering practices and CI/CD infrastructure.",in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.85,"Mobile Device Management is relevant to telephony and could be used in managing virtualQ's mobile infrastructure, making it within the domain of a telephony technology company.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.95,"The question asks about machine learning algorithms in a forecasting engine, which is likely part of virtualQ's technology stack or product functionality.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.95,"The question asks about specific optimizers offered by virtualQ, indicating a direct inquiry into virtualQ's products or technologies.",in_domain,en
What is the capital of France?,False,False,0.0,The question about the capital of France is general knowledge and unrelated to virtualQ or its technology domain.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.0,"The question about the author of '1984' is unrelated to virtualQ or its technology stack, products, or engineering practices.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.0,The question about the speed of light is a general physics fact and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.95,"The question is about Genesys Cloud, a different telephony company, not about virtualQ or its technology stack.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,"The question compares two third-party contact center platforms, Five9 and NICE inContact, which are unrelated to virtualQ's products or technology stack.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,"Quantum computing is a general advanced computing topic with no direct relevance to virtualQ's telephony products, technology stack, or domain.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,True,0.85,"The question is about Python web frameworks, which are relevant to virtualQ's technology stack and engineering practices.",out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.0,The question about making a chocolate cake is unrelated to virtualQ's domain of telephony technology and products.,out_of_domain_general_knowledge,en
What are WebSockets used for?,False,True,0.85,"WebSockets are commonly used in telephony applications for real-time communication, which is relevant to virtualQ's domain.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,True,0.9,Kubernetes pod scheduling is a relevant technical concept that applies to virtualQ's infrastructure and deployment practices.,out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,True,0.9,"TCP and UDP are fundamental networking protocols relevant to telephony systems, which are within virtualQ's domain of expertise.",out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,True,0.9,"Die Frage bezieht sich auf rechtliche Kriterien für Drittanbieter-Software, was im Kontext von virtualQ auf Compliance und Sicherheit in Bezug auf deren Technologiestack und Produktnutzung zutreffen kann.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.95,"The question asks about programming languages used at the company, which directly relates to virtualQ's technology stack and engineering practices.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.95,"The question asks about frameworks used in 'our system', which refers to virtualQ's technology stack based on context, making it directly relevant to the company's technical environment.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,True,0.75,"Audits are relevant to compliance and security practices within telephony companies like virtualQ, even though the question is general.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.95,"The question asks about how technical debt is managed, which relates to engineering practices at virtualQ, a topic within the company's domain.",in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,True,1.0,"Die Frage bezieht sich direkt auf die Skalierung des virtualQ-Systems hinsichtlich Performance und neuer Standorte, was Kernaspekte der Architektur und Infrastruktur von virtualQ betrifft.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,True,0.95,"Die Frage bezieht sich auf Sprach- und Intent-Erkennung im Kontext eines Telekommunikationssystems, was direkt mit den Technologien und Anwendungsfällen von virtualQ verbunden ist.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,True,0.95,"Die Frage bezieht sich direkt auf den Build- und Deployment-Prozess, der Teil der Softwareentwicklung und CI/CD-Praktiken bei virtualQ ist.",in_domain,en
Wie nutzen wir Mobile Device Management?,True,True,0.95,"The question asks about the use of Mobile Device Management within virtualQ, indicating it is directly related to virtualQ's internal practices or products.",in_domain,en
Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?,True,True,0.95,"The question asks about machine learning algorithms used in virtualQ's Forecasting-Engine, which is a specific component of virtualQ's technology stack.",in_domain,en
Welche verschiedenen Optimizer bietet virtualQ an und was tun sie?,True,True,0.95,"The question asks about specific optimizers offered by virtualQ, which directly relates to the company's products or technological offerings.",in_domain,en
Was ist die Hauptstadt von Frankreich?,False,False,0.0,The question is about general geography and has no relation to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
Wer hat den Roman 1984 geschrieben?,False,False,0.0,"The question asks about the author of the novel '1984', which is unrelated to virtualQ or its technology domain.",out_of_domain_general_knowledge,en
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.1,Die Frage bezieht sich auf die allgemeine Physik und hat keinen Bezug zu virtualQ oder dessen Technologie-Stack.,out_of_domain_general_knowledge,en
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.1,"Die Frage bezieht sich auf Genesys Cloud, ein Produkt eines anderen Unternehmens, und nicht auf virtualQ oder dessen Technologiestack.",out_of_domain_other_company,en
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.1,"The question compares two third-party companies, Five9 and NICE inContact, which are not part of virtualQ's products, technology stack, or domain-specific telephony concepts directly related to virtualQ.",out_of_domain_other_company,en
Erkläre Quantencomputing in einfachen Worten,False,False,0.1,The question about quantum computing is unrelated to virtualQ's domain of telephony and technology stack.,out_of_domain_general_knowledge,en
Was sind die besten Python-Web-Frameworks?,False,True,0.75,"Die Frage betrifft Python-Web-Frameworks, die für die Entwicklung von Anwendungen im technischen Stack von virtualQ relevant sein könnten, ist aber allgemein gehalten und nicht spezifisch für virtualQ.",out_of_domain_general_tech,en
Wie backe ich einen Schokoladenkuchen?,False,False,0.0,"The question is about baking a chocolate cake, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_knowledge,en
Wofür werden WebSockets verwendet?,False,True,0.9,"WebSockets sind relevant für Echtzeitkommunikation in telephony-Anwendungen, die zu virtualQs Domäne gehören.",out_of_domain_general_tech,en
