question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.8,"The question about legal criteria for 3rd party software is relevant to a technology company like virtualQ, as it may involve compliance, security, and integration considerations.",in_domain,en
Which programming languages do we use?,True,True,0.9,The question about programming languages is directly relevant to understanding virtualQ's technology stack and engineering practices.,in_domain,en
What are the central frameworks?,True,True,0.8,The question about central frameworks could reasonably relate to the technology stack and architecture of virtualQ.,in_domain,en
What are internal and external audits and how do they differ?,True,True,0.7,The question about internal and external audits could be relevant to understanding security and compliance practices at virtualQ.,in_domain,en
How is technical debt tracked and managed?,True,True,0.9,The question about tracking and managing technical debt is relevant to the engineering practices and technology stack of a company like virtualQ.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.9,"The question pertains to the scalability and performance of virtualQ's system, which is directly related to its technology stack and infrastructure.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.9,The question pertains to the technology stack and specific functionalities (speech and intent recognition) that are likely relevant to a telephony company like virtualQ.,in_domain,en
How is the build and deployment process organized?,True,True,0.9,"The question pertains to the build and deployment process, which is a critical aspect of technology stack management at a company like virtualQ.",in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.8,"Mobile Device Management (MDM) is a technology relevant to managing devices that may interface with telephony services, thus it could be pertinent to virtualQ's domain.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.9,"The question pertains to the technology stack and specific algorithms used by virtualQ, which is relevant to understanding their engineering practices and product capabilities.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.8,"The question pertains to specific offerings (optimizers) by virtualQ, which is relevant to understanding their technology stack and products.",in_domain,en
What is the capital of France?,False,False,0.1,The question about the capital of France is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.1,The question about the author of the novel 1984 is unrelated to the telephony company virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.1,The speed of light is a fundamental physical constant and not directly related to virtualQ's technology stack or operations.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.2,"The question is about Genesys Cloud, which is a different telephony company, and not directly related to virtualQ's technology stack or products.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.2,The question compares two third-party companies (Five9 and NICE inContact) and does not directly relate to virtualQ's technology stack or operations.,out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,The question about quantum computing is too general and not directly related to virtualQ's specific technology stack or telephony domain.,out_of_domain_general_knowledge,en
