question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.7,"The question concerns legal/compliance criteria for third‑party software, which is relevant to virtualQ's security and compliance practices around its technology stack.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about the programming languages used, which directly pertains to virtualQ's technology stack.",in_domain,en
What are the central frameworks?,True,True,0.65,"The vague query could be interpreted as asking about the primary software frameworks used by virtualQ's telephony platform, which aligns with the domain.",in_domain,en
What are internal and external audits and how do they differ?,True,True,0.7,"Audits relate to security and compliance, which are part of virtualQ's domain, even though the question is generic.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,Technical debt tracking and management is an engineering practice relevant to virtualQ's technology and development processes.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.98,"The question asks about how virtualQ's system scales, which directly pertains to its architecture and performance engineering.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.7,"The question asks about speech and intent recognition, which are likely components of virtualQ's telephony platform, making it reasonably relevant to their technology stack.",in_domain,en
How is the build and deployment process organized?,True,True,0.78,"The question concerns the build and deployment process, which is directly related to the deployment/CICD aspect of virtualQ's technology stack.",in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.68,"Mobile Device Management is a technology that could be relevant to virtualQ for managing devices used with its telephony services, so the question is reasonably related to the company's tech stack.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.85,"The question likely refers to virtualQ's internal forecasting engine, which is part of its technology stack.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.95,"The question asks about specific features (optimizers) offered by virtualQ, which pertains to its product/technology stack.",in_domain,en
What is the capital of France?,False,False,0.02,"The question asks for a general geography fact unrelated to virtualQ's telephony technology, products, or engineering practices.",out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.05,"The question asks about the author of a literary novel, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.05,"The question asks for a fundamental physics constant and does not pertain to virtualQ's products, technology stack, or telephony engineering.",out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.1,"The question asks about Genesys Cloud's features, which pertains to a different telephony company rather than virtualQ.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,"The question asks for a comparison between Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en
