"questions","answer"
"What are the legal criteria for third-party software?","virtualQ evaluates third-party software based on strict legal and compliance requirements, with a focus on GDPR-compliant data protection policies and license compatibility. All licenses—particularly open-source ones—must permit unrestricted commercial use and must not jeopardize virtualQ’s intellectual property rights. Tools are tested for long-term support and security (through audits such as Snyk) and must avoid outdated or high-risk components."
"Which programming languages do we use?","I don't have enough reliable context to answer that confidently. Please rephrase your question or provide a bit more detail."
"Which frameworks are used?","I don't have enough reliable context to answer that confidently. Please rephrase your question or provide a bit more detail."
"What are internal and external audits, and how do they differ?","Internal audits focus on code quality, design verification, and vulnerability detection using automated tools such as Debricked and Snyk. External audits are conducted by partner companies and include penetration testing, which simulates real-world attacks to verify the security of client systems."
"How do you ensure that all deployments meet the highest quality standards?","Builds and deployments follow an automated CI/CD pipeline. New features are implemented in feature branches and must be approved by another team member via pull requests before being merged into the main codebase. The complete test suite is run during the build process, and a failed test stops the pipeline."
"To what extent do you use Mobile Device Management?","Mobile Device Management is used to secure all employee devices by enforcing mandatory standards such as strong passwords, full disk encryption, remote lock and wipe functions, automatic registration, and ongoing compliance monitoring. This ensures that virtualQ’s physical IT infrastructure—which is essentially limited to laptops, monitors, and mobile phones—is secure."
"Which machine learning algorithms are used in the forecasting engine?","The forecasting engine uses an ensemble model that combines several algorithms, including Autoregressive Integrated Moving Average (ARIMA) and Exponential Smoothing (ETS). In addition, rolling-window deep neural networks based on Long Short-Term Memory (LSTM) and Gated Recurrent Unit (GRU) architectures are used, as well as Random Cut Forests in combination with Motive Pooling—a proprietary ML algorithm—and naive models such as averaging past data. The exact parameters of the ensemble are determined through training. The forecasting engine works in conjunction with a simulation engine that uses the Non-dominated Sorting Genetic Algorithm (NSGA-II) to find optimal optimizer configuration parameters."
"What are the benefits of Call Preparation?","Agents can find out what the caller wants even before the callback. This leads to shorter calls since information can be gathered in advance and to significantly increased caller satisfaction since the agent acts competently and is well-prepared."
"How many minutes are included in the M package of Call Preparation?","I don't have enough reliable context to answer that confidently. Please rephrase your question or provide a bit more detail."
"What issues does the Appointment Bot have?","The Appointment Bot has many “not understood” cases due to confusing user input, and the bot sometimes interrupts itself. Additionally, appointments are only available in 30-minute increments."
