experiment,questions_file,model_id,query_prompt,answer_prompt,judge_prompt,question,faithfulness_score,answer_relevancy_score,contextual_relevancy_score,contextual_recall_score,contextual_precision_score,num_context_chunks
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,1.0,0.8888888888888888,0.46153846153846156,1.0,1.0,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,Which programming languages do we use?,1.0,0.6666666666666666,0.20512820512820512,0.0,0.9861111111111112,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the central frameworks?,0.75,0.7142857142857143,0.3055555555555556,0.0,0.8520408163265306,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,1.0,0.42424242424242425,1.0,0.7878306878306877,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,Which different optimizers are offered by virtualQ and what do they do?,1.0,1.0,0.16129032258064516,0.0,0.6,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,How is the weather?,1.0,0.6666666666666666,0.0,0.5,0.1,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,1.0,0.0,0.5,0.8782627865961198,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,1.0,1.0,0.5263157894736842,1.0,1.0,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,Which programming languages do we use?,1.0,1.0,0.13157894736842105,0.0,0.9861111111111112,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the central frameworks?,0.6666666666666666,1.0,0.2222222222222222,0.0,1.0,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,1.0,0.3793103448275862,0.75,0.7878306878306877,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,Which different optimizers are offered by virtualQ and what do they do?,1.0,1.0,0.16666666666666666,0.2857142857142857,0.0,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,How is the weather?,1.0,1.0,0.0,0.5,0.1,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,eu.amazon.nova-lite-v1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,0.6666666666666666,0.0,0.5,0.29583333333333334,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are the legal criteria for 3rd party software?,0.75,1.0,0.5263157894736842,1.0,0.9293650793650793,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,Which programming languages do we use?,1.0,1.0,0.2553191489361702,0.0,0.9861111111111112,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are the central frameworks?,0.5,0.5714285714285714,0.32432432432432434,0.0,1.0,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are internal and external audits and how do they differ?,1.0,0.75,0.25,0.75,0.7878306878306877,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,Which different optimizers are offered by virtualQ and what do they do?,1.0,1.0,0.16666666666666666,0.5714285714285714,0.0,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,How is the weather?,1.0,1.0,0.0,0.5,0.1,10
engineer_public_q_default_a_qa_terse_j_default,src/evaluation/questions_short_public.csv,openai.gpt-oss-120b-1:0,default,qa_terse,default,What are the best new graphic cards that you are offering?,1.0,1.0,0.0,0.5,0.24074074074074073,10
engineer_public_q_default_a_qa_terse_j_lenient,src/evaluation/questions_short_public.csv,qwen.qwen3-235b-a22b-2507-v1:0,default,qa_terse,lenient,What are the legal criteria for 3rd party software?,1.0,1.0,0.4358974358974359,1.0,1.0,10
