question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.92,"The question asks about general legal criteria for third‑party software, not about virtualQ's products, stack, or policies.",in_domain,en
Which programming languages do we use?,True,True,0.98,"The question asks about the programming languages used by virtualQ, which is directly about the company's technology stack.",in_domain,en
What are the central frameworks?,True,False,0.55,"The question likely refers to the main frameworks used by virtualQ, making it domain-relevant, though the lack of context creates some uncertainty.",in_domain,en
What are internal and external audits and how do they differ?,True,True,0.85,"The question asks about internal and external audits, which are compliance processes relevant to a technology company's operations.",in_domain,en
How is technical debt tracked and managed?,True,True,0.86,The question asks about a software engineering practice (technical debt tracking) that is relevant to virtualQ's internal engineering processes.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.98,"The question asks specifically about how virtualQ's system scales, which directly pertains to virtualQ's architecture and performance.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.85,"The question asks about speech and intent recognition, which are telephony concepts relevant to virtualQ's domain.",in_domain,en
How is the build and deployment process organized?,True,True,0.97,"The question asks about the organization of the build and deployment process, which pertains to virtualQ's engineering and CI/CD practices.",in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.92,"The question asks about a general technology (Mobile Device Management) not specific to virtualQ's products, telephony, or its tech stack.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.95,"The question asks about the specific machine learning algorithms used in virtualQ's forecasting engine, which pertains to the company's technology stack.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.98,"The question asks about specific virtualQ offerings (optimizers), which directly relates to virtualQ products.",in_domain,en
What is the capital of France?,False,True,0.99,"The question asks about a general geography fact and is not related to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,True,0.99,"The question asks about the author of a literary novel, which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
What is the speed of light?,False,True,0.99,"The question asks about a fundamental physics constant and is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,True,0.98,"The question asks about Genesys Cloud, a competitor, not about virtualQ or its technology stack.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,True,0.98,"The question compares Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,True,0.99,"The question asks about quantum computing, which is unrelated to virtualQ's products, technology stack, or telephony domain.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,True,0.96,"The question asks for general advice on Python web frameworks, which is not specific to virtualQ's products, stack, or telephony domain.",out_of_domain_general_tech,en
How do I make a chocolate cake?,False,True,0.99,"The question asks for a cooking recipe, which is not related to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,True,0.85,"The question asks about a general technology (WebSockets) that could be part of virtualQ's stack, making it relevant but not specific to virtualQ.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,True,0.9,"Kubernetes pod scheduling is general technology that could be part of virtualQ's infrastructure stack, making it relevant to the domain.",out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,True,0.85,"The question asks about general networking protocols that are relevant to virtualQ's technology stack, making it applicable but not specific to virtualQ.",out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,True,0.96,"The question asks about general legal criteria for third‑party software, which is not specific to virtualQ's products, technology stack, or telephony domain.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.98,"The question asks which programming languages are used at virtualQ, directly concerning the company's technology stack.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.97,"The question asks which frameworks are used in our system, which pertains to virtualQ's internal technology stack.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,True,0.88,"The question asks about general internal and external audits, which is not specific to virtualQ's products, technology stack, or telephony domain.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.97,"The question asks about how virtualQ handles technical debt, which is an engineering practice specific to the company.",in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,True,0.99,"The question asks specifically about how virtualQ's system scales in performance and geographic expansion, which directly concerns virtualQ's product and architecture.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,True,0.95,"The question asks how speech recognition and intent detection are used within the system, which pertains to virtualQ's telephony/AI product features.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,True,0.97,"The question asks about the build and deployment process, which pertains to virtualQ's engineering and CI/CD practices and is therefore within the domain.",in_domain,en
Wie nutzen wir Mobile Device Management?,True,True,0.95,"The question asks how virtualQ uses Mobile Device Management, which is an internal engineering/security practice relevant to the company.",in_domain,en
Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?,True,True,0.95,"The question asks about the machine‑learning algorithms used in virtualQ's forecasting engine, which is a specific product detail.",in_domain,en
Welche verschiedenen Optimizer bietet virtualQ an und was tun sie?,True,True,0.98,"The question asks about the different optimizers provided by virtualQ, which is a direct inquiry about virtualQ's product features.",in_domain,en
Was ist die Hauptstadt von Frankreich?,False,True,0.99,"The question asks for the capital of France, which is unrelated to virtualQ, its products, technology, or telephony.",out_of_domain_general_knowledge,en
Wer hat den Roman 1984 geschrieben?,False,True,0.99,"The question asks about the author of the novel '1984', which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
Wie schnell ist Lichtgeschwindigkeit?,False,True,0.99,"The question asks about the physical speed of light, which is unrelated to virtualQ's products, technology, or telephony domain.",out_of_domain_general_knowledge,en
Was sind die Hauptfunktionen von Genesys Cloud?,False,True,0.99,"The question asks about Genesys Cloud, a competitor's product, which is not related to virtualQ.",out_of_domain_other_company,en
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,True,0.99,"The question asks for a comparison between Five9 and NICE inContact, which are unrelated companies, not about virtualQ.",out_of_domain_other_company,en
