question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.92,"The question asks about general legal criteria for third‑party software, which is not specific to virtualQ's technology, products, or engineering practices.",in_domain,en
Which programming languages do we use?,True,False,0.98,"The question asks about the programming languages used, which pertains to virtualQ's technology stack and is within the defined domain.",in_domain,en
What are the central frameworks?,True,False,0.85,"The question is vague and does not reference virtualQ or its telephony technology stack, making it likely unrelated to the specified domain.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.9,"The question asks about general internal and external audits, not about virtualQ's specific technology, security, or compliance practices.",in_domain,en
How is technical debt tracked and managed?,True,False,0.95,"The question asks about engineering practices (tracking and managing technical debt), which falls under the domain of virtualQ's technology and engineering processes.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,False,0.98,"The question asks about how virtualQ scales for performance and new locations, which pertains to its architecture and infrastructure—topics covered by the domain.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,False,0.92,"The question asks about speech and intent recognition usage, which are technology components relevant to virtualQ's telephony system.",in_domain,en
How is the build and deployment process organized?,True,False,0.98,"The question asks about the build and deployment process, which pertains to deployment/CICD—an area explicitly covered in the virtualQ technology stack domain.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.92,"The question asks about general Mobile Device Management, which is unrelated to virtualQ's telephony products or technology stack.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,False,0.95,"The question asks about machine learning algorithms in a forecasting engine without referencing virtualQ, so it falls outside the specified virtualQ technology domain.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,False,0.96,"The question asks about specific features (optimizers) offered by virtualQ, which pertains to the company's product/technology stack.",in_domain,en
What is the capital of France?,False,False,0.99,"The question asks about the capital of France, which is unrelated to virtualQ's telephony technology or any of the specified domain topics.",out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of the novel '1984', which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.99,"The question asks about a fundamental physics constant, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.99,"The question asks about Genesys Cloud, which is a different telephony company, not virtualQ.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.99,"The question asks for a comparison between Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.99,"The question asks about quantum computing, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.1,"The question asks about general WebSocket usage, not specifically about virtualQ, its products, or telephony-related technology.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,False,0.97,"The question asks about generic Kubernetes pod scheduling, which is not specific to virtualQ or its telephony technology stack.",out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.97,"The question asks about general networking protocols (TCP vs UDP) and does not pertain to virtualQ's products, architecture, or telephony-specific implementations.",out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,False,0.95,"The question asks about general legal criteria for third‑party software and does not reference virtualQ or its specific technology, products, or compliance practices.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,False,0.98,"The question asks about the programming languages used at virtualQ, which is directly related to the company's technology stack.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,False,0.9,"The question asks about the frameworks used in the system, which pertains to the technology stack of virtualQ.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,False,0.96,"The question asks about general internal and external audits, which is unrelated to virtualQ's specific technology, products, or compliance practices.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,False,0.9,"The question asks about handling technical debt, which is an engineering practice relevant to virtualQ's technology stack and processes.",in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,False,0.98,"The question asks about how virtualQ scales in terms of performance and new locations, which pertains to its architecture and infrastructure—clearly within the specified domain.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,False,0.3,"The question asks about speech and intent recognition generally, without referencing virtualQ or its specific technology stack.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,False,0.9,"The question asks about build and deployment processes, which falls under the deployment/CICD topic within the virtualQ technology stack domain.",in_domain,en
Wie nutzen wir Mobile Device Management?,True,False,0.9,"The question asks about using Mobile Device Management, which relates to internal technology and security practices relevant to virtualQ's engineering operations.",in_domain,en
Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?,True,False,0.88,"The question asks about machine-learning algorithms in a forecasting engine without referencing virtualQ, so it falls outside the specified telephony company domain.",in_domain,en
Welche verschiedenen Optimizer bietet virtualQ an und was tun sie?,True,False,0.99,"The question asks about specific virtualQ technology (optimizers), which is directly related to virtualQ's product/technology stack.",in_domain,en
