question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.85,"The question could relate to virtualQ's use of third-party software in its technology stack, especially regarding compliance and integration, which are relevant to a telephony company's engineering and legal practices.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about programming languages used, which is directly relevant to virtualQ's technology stack and engineering practices.",in_domain,en
What are the central frameworks?,True,True,0.85,"The question could reasonably refer to central software frameworks used within virtualQ's technology stack, which is relevant to understanding its engineering practices and architecture.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.75,"The question about audits could relate to virtualQ's security, compliance, or engineering practices, which are relevant to its technology operations and regulatory requirements in the telephony domain.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,The question about tracking and managing technical debt is relevant to software engineering practices at a technology company like virtualQ and could reasonably pertain to their development processes.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.95,"The question pertains to virtualQ's system scalability, which is directly related to its architecture and infrastructure—core aspects of the company's technology stack.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.95,"Speech and intent recognition are relevant to virtualQ's telephony systems, especially for voice processing and customer interaction automation, making this a reasonable technology question about their stack.",in_domain,en
How is the build and deployment process organized?,True,True,0.95,"The question pertains to build and deployment processes, which are core aspects of virtualQ's engineering practices and CI/CD infrastructure, making it highly relevant to the company's technology stack.",in_domain,en
What is Mobile Device Management and how is it used?,True,True,0.85,"Mobile Device Management (MDM) is relevant to virtualQ's telephony technology stack as it may be used to manage and secure mobile devices accessing virtualQ's communication services, especially in enterprise environments.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.9,"The question about machine learning algorithms in a forecasting engine could reasonably relate to virtualQ's technology stack, especially if they use forecasting for call volume, resource allocation, or service optimization in their telephony platform.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.85,"The question asks about specific technical components (optimizers) offered by virtualQ, which could reasonably relate to its telephony technology stack or APIs, making it relevant to the company's products or engineering practices.",in_domain,en
What is the capital of France?,False,False,0.1,The question about the capital of France is general knowledge and has no direct or indirect relevance to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.1,"The question about the author of '1984' is unrelated to virtualQ's technology stack, products, or engineering practices and does not pertain to telephony or any reasonable technology domain relevant to virtualQ.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.1,The speed of light is a general physics constant and not directly relevant to virtualQ's telephony technology stack or engineering practices.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.1,"The question is about Genesys Cloud's features, which pertains to a different company and is not directly related to virtualQ's technology stack or products.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,"The question compares two external telephony companies and does not directly relate to virtualQ's technology stack, products, or engineering practices.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,"The question about quantum computing is a general technology topic with no direct or implied connection to virtualQ's telephony products, services, or technology stack.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,True,0.85,The question about Python web frameworks could be relevant to someone working at virtualQ if they are developing or evaluating backend services as part of their telephony platform.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.1,"The question about making a chocolate cake is unrelated to virtualQ's technology stack, products, or any telephony-related engineering concerns.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,True,0.9,"WebSockets are commonly used in telephony applications for real-time communication, which is relevant to virtualQ's technology stack and services.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,True,0.85,"Kubernetes pod scheduling is a relevant infrastructure and deployment topic that could reasonably relate to virtualQ's technology stack and engineering practices, especially if they use Kubernetes for managing telephony services.",out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,True,0.9,"The question about TCP vs UDP is relevant to telephony systems, which rely on network protocols for voice transmission, making it reasonably related to virtualQ's technology stack.",out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,True,0.85,"The question about legal criteria for third-party software could reasonably relate to virtualQ's compliance, security, or engineering practices when integrating external tools into their telephony technology stack.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.95,"The question asks about programming languages used at the company, which directly relates to virtualQ's technology stack and engineering practices.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.95,"The question asks about frameworks used in 'our system,' which likely refers to virtualQ's technology stack, making it directly relevant to the domain.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,True,0.8,"The question about internal and external audits could reasonably relate to virtualQ's security, compliance, or engineering practices, which are part of its technology domain.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.95,The question about handling technical debt is relevant to software engineering practices at virtualQ and could reasonably pertain to their technology stack and development processes.,in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,True,0.95,"Die Frage bezieht sich direkt auf die Skalierbarkeit des virtualQ-Systems hinsichtlich Performance und geografischer Standorte, was ein zentrales technisches Thema für die Architektur und Infrastruktur von virtualQ ist.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,True,0.95,"The question asks about speech and intent recognition, which are relevant telephony-related technologies likely used in virtualQ's systems, making it reasonably within the domain of their technology stack.",in_domain,en
