question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.92,"The question asks about general legal criteria for third‑party software, not about virtualQ's products, technology, or compliance policies.",in_domain,en
Which programming languages do we use?,True,True,0.97,"The question asks about the programming languages used, which is part of virtualQ's technology stack and engineering practices, fitting the domain.",in_domain,en
What are the central frameworks?,True,False,0.2,"The question is vague and does not reference virtualQ or its telephony technology stack, making it likely unrelated to the specified domain.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.9,"The question asks about general audit concepts, not about virtualQ's technology, products, or specific compliance practices.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,Technical debt tracking and management is an engineering practice relevant to virtualQ's technology stack and processes.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.99,"The question asks about how virtualQ scales for performance and new locations, which directly pertains to virtualQ's architecture and scalability within the defined domain.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.92,"The question asks about how speech and intent recognition are employed in the system, which pertains to virtualQ's telephony technology stack and product functionality.",in_domain,en
How is the build and deployment process organized?,True,True,0.85,"The question asks about build and deployment organization, which falls under the deployment/CICD topic covered in the virtualQ technology domain.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.96,"The question asks about general Mobile Device Management, which is not specific to virtualQ's telephony technology stack.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.8,"The question asks about the machine learning algorithms used in a forecasting engine, which likely pertains to virtualQ's technology stack and telephony-related predictive features.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.95,"The question asks about specific virtualQ offerings (optimizers), which pertains to the company's product/technology stack.",in_domain,en
What is the capital of France?,False,False,0.99,"The question asks about the capital of France, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of a literary novel, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.99,"The question asks about a fundamental physics constant, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.99,"The question asks about Genesys Cloud, a different telephony company, not about virtualQ or its technology stack.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.99,"The question asks for a comparison between Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.99,"The question asks about quantum computing, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony products or technology stack.",out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology, products, or engineering.",out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.96,"The question asks about general WebSocket usage, not specifically about virtualQ or its telephony technology stack.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,False,0.88,"The question asks about generic Kubernetes pod scheduling, not specifically about virtualQ's technology or its telephony services.",out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.96,"The question asks about general networking protocols, not about virtualQ's products, architecture, or telephony-specific implementations.",out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,False,0.92,"The question asks about general legal criteria for third‑party software and does not pertain to virtualQ's products, technology stack, or specific engineering practices.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.98,"The question asks which programming languages are used at virtualQ, which directly pertains to the company's technology stack.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.95,"The question asks about the frameworks used in the system, which pertains to the technology stack of virtualQ and is therefore within the domain.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,False,0.96,"The question asks about general internal and external audits, not about virtualQ's specific technology, products, or compliance practices.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.85,"The question asks about handling technical debt, which is an engineering practice relevant to virtualQ's technology stack and processes.",in_domain,en
