annotation_id,question,generated_answer,correctness_1to5,completeness_1to5,usefulness_1to5,notes
1,What issues does the Appointment Bot have?,"The Appointment Bot has issues with ""not understood"" cases due to erratic user input, and it can only offer appointments in 30-minute slots, which may not always align with customer preferences. Additionally, there are challenges with call redirections where information is not carried over, potentially disrupting the user experience.",,,,
2,"What license does Ruby on Rails have?""","Ruby on Rails is provided under the MIT license, as indicated in the context where it mentions that the framework is provided under this license. This allows for free use, modification, and distribution, provided that the license terms are included in any redistribution.",,,,
3,Which programming languages do we use?,"We primarily use Ruby (43%), HTML/JavaScript (24%), Python (11%), .Net/C# (9%), and Elixir (7%) in our codebase, with smaller amounts of other languages like Terraform making up the remaining 6%. The system is consolidating toward Ruby and Elixir for application logic, HTML/JavaScript for user interfaces, and Python for machine learning and AI, while .Net/C# is considered legacy and no longer actively developed.",,,,
4,"What are internal and external audits, and how do they differ?","Confidence: High – The provided context contains sufficient information to answer the question about internal and external audits and their differences.

Internal audits refer to regular decision-making and verification processes that occur during the implementation of features within the virtualQ system. These include engineering-level decisions on implementation options, which are typically made by engineers and verified through pull requests. Additionally, internal audits involve architecture and design sessions within the team, as well as ongoing internal reviews. When findings are uncovered—such as from security scans during external reviews—they may be added to the technical debt backlog manually or automatically. Intentional creation of technical debt is discussed among the team before proceeding with design and implementation, indicating a structured internal review process.

External audits, on the other hand, are based on the use of external tooling and services to verify the virtualQ system, either in the codebase or in a non-production environment. These include manual security-related audits such as penetration testing carried out by a partner. External audits also include external reviews that may uncover issues needing remediation, such as vulnerabilities identified in security scans.

The key differences are:
- Internal audits are conducted by the internal team during development and design, focusing on decision verification, architecture, and managing technical debt.
- External audits are performed by external parties or tools, focusing on security validation through penetration testing and automated scanning, primarily in non-production stages.

Not enough information in the provided documents to determine... the specific tools, frequency, or governance structure beyond what is mentioned, or whether external audit findings have a separate tracking mechanism apart from the technical debt backlog.",,,,
5,"What license does Ruby on Rails have?""","Not enough information in the provided documents to determine the license of Ruby on Rails. 

While the context mentions that React and Redux are published under the MIT license, and discusses general licensing requirements for dependencies (e.g., commercial use and sale in an exit scenario), it does not specify the license type for Ruby on Rails itself.",,,,
6,"What are internal and external audits, and how do they differ?","Internal audits involve regular decision points during implementation where engineers select and verify options for feature implementation, while external audits use external tooling/services and penetration testing by a partner to verify the virtualQ system. External audits also uncover findings that may be added to the technical debt backlog.",,,,
7,Which programming languages do we use?,"Confidently, based on the provided context, the programming languages currently used in the virtualQ system are:

- **Ruby** (43% of the codebase) – used for application logic.
- **HTML / JavaScript** (24% of the codebase) – used for user interfaces.
- **Python** (11% of the codebase) – used for machine learning and AI.
- **.Net / C#** (9% of the codebase) – used in legacy ACD connectors, which are no longer sold and only maintained.
- **Elixir** (7% of the codebase) – used for application logic, considered a functional evolution of Ruby.
- **Other languages** (6% of the codebase) – including Terraform Templates and similar infrastructure as code tools.

The codebase is actively being consolidated toward **Ruby and Elixir** for application logic, **HTML/JavaScript** for user interfaces, and **Python** for machine learning and AI. .Net / C# is considered legacy and not part of future development.

There is no indication of active development in other languages beyond the specified categories.

**Final Answer:** The programming languages used are Ruby, HTML/JavaScript, Python, .Net/C#, Elixir, and other minor languages such as Terraform (for infrastructure). This information is stated with high confidence based on the document.",,,,
8,Which programming languages do we use?,"The virtualQ system uses the following programming languages:

- Ruby (43% of the codebase)
- HTML / JavaScript (24% of the codebase)
- Python (11% of the codebase)
- .Net / C# (9% of the codebase)
- Elixir (7% of the codebase)
- Other (e.g., Terraform Templates) (6% of the codebase)",,,,
9,What are the benefits of Call Preparation?,"The benefits of Call Preparation include allowing agents to inform themselves about the caller's needs before the call, leading to shorter call durations and higher caller satisfaction due to the agent's preparedness and competence. Additionally, it helps in managing call distribution efficiently, though challenges arise when calls need to be redirected to different areas without transferring the gathered information.",,,,
10,How many minutes are included in the M package of Call Preparation?,"The M package of Call Preparation includes 3,000 minutes. This is indicated in the table under the ""Call Prep Package Minutes"" column for the M package.",,,,
