question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.1,The question about legal criteria for 3rd party software is too general and not specifically related to virtualQ's technology stack or operations.,in_domain,en
Which programming languages do we use?,True,True,0.9,"The question pertains to the technology stack and engineering practices at virtualQ, which is within the specified domain.",in_domain,en
What are the central frameworks?,True,False,0.0,Judge JSON parse failed.,in_domain,en
What are internal and external audits and how do they differ?,True,False,0.1,The question about internal and external audits is a general knowledge question and not specific to the telephony company virtualQ or its technology stack.,in_domain,en
How is technical debt tracked and managed?,True,True,0.9,"The question pertains to engineering practices at virtualQ, specifically how technical debt is managed, which is a relevant concern for a technology company.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.95,"The question pertains to the scalability of virtualQ's system, which is directly related to its technology stack and infrastructure.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.9,The question pertains to specific technology components (speech recognition and intent recognition) that are likely part of virtualQ's telephony system.,in_domain,en
How is the build and deployment process organized?,True,True,0.9,"The question pertains to the build and deployment process, which is a core aspect of the technology stack and engineering practices at virtualQ.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.2,Mobile Device Management is a general IT concept and not specifically related to virtualQ's technology stack or telephony services.,in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.9,"The question pertains to the technology stack and specific algorithms used by virtualQ, which falls under the domain of virtualQ's technology and engineering practices.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.9,"The question pertains to specific offerings (optimizers) and their functions within virtualQ, which aligns with inquiries about the company's technology stack and products.",in_domain,en
What is the capital of France?,False,False,0.0,The question about the capital of France is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.0,The question about the author of the novel 1984 is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.0,The question about the speed of light is a general knowledge inquiry and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.1,"The question is about Genesys Cloud, which is a different telephony company and not related to virtualQ's technology stack or products.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,The question is about comparing two third-party companies (Five9 and NICE inContact) and not about virtualQ's technology stack or practices.,out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,The question about quantum computing is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.1,The question about Python web frameworks is a general technology question and not specific to virtualQ or its technology stack.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.0,The question about making a chocolate cake is unrelated to the telephony company virtualQ and its technology stack.,out_of_domain_general_knowledge,en
What are WebSockets used for?,False,True,0.7,"WebSockets are a technology that could be relevant to virtualQ's telephony solutions, though the question is quite general.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,True,0.8,Kubernetes pod scheduling is a technology-related topic that could be relevant to virtualQ's infrastructure and deployment practices.,out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.1,The question about TCP and UDP is a general networking topic and not specific to virtualQ or its technology stack.,out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,False,0.1,The question about legal criteria for third-party software is too general and not specifically related to virtualQ's technology stack or operations.,in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.9,"The question is about the programming languages used at virtualQ, which falls under the technology stack and engineering practices domain.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.95,"The question is about the technology stack used by virtualQ, specifically the frameworks, which falls under the domain of virtualQ's technology and engineering practices.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,False,0.1,The question is about general concepts of audits and not specific to virtualQ or its technology stack.,in_domain,en
