question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.75,"The question could relate to virtualQ's compliance and integration practices regarding third-party software, which falls within the scope of its technology and security policies.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about programming languages used at virtualQ, which is directly related to its technology stack and engineering practices.",in_domain,en
What are the central frameworks?,True,True,0.85,"The question 'What are the central frameworks?' is likely referring to technology frameworks used by virtualQ, given the domain's focus on telephony and company-specific tech stack, making it a reasonable inquiry about virtualQ's architecture or engineering practices.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.1,"The question is a general inquiry about audit types and does not specifically relate to virtualQ or its technology, practices, or infrastructure.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,"The question pertains to engineering practices at virtualQ, specifically how technical debt is managed, which is a reasonable topic for a technology company in the telephony domain.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.95,"The question asks about the scalability of virtualQ's system for performance and new locations, which directly relates to its infrastructure and architecture, falling within the defined domain.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.95,"The question asks about speech and intent recognition technologies within the system, which are relevant to virtualQ's telephony platform and its underlying technology stack.",in_domain,en
How is the build and deployment process organized?,True,True,0.95,"The question asks about the build and deployment process, which is part of virtualQ's CI/CD and engineering practices, falling within the specified domain.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.3,"The question is a general inquiry about Mobile Device Management and not specifically related to virtualQ's technology stack, products, or practices.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.9,"The question asks about machine learning algorithms in a forecasting engine, which is likely part of virtualQ's technology stack for telephony-related predictions or analytics.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.95,"The question asks about specific technical components (optimizers) offered by virtualQ, which relates to its technology stack and products.",in_domain,en
What is the capital of France?,False,False,0.0,The question is about general knowledge and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.0,The question about the author of the novel '1984' is unrelated to virtualQ or its technology stack and falls outside the defined domain.,out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.1,The question about the speed of light is a general physics topic and not related to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.1,"The question is about Genesys Cloud, a different company, not virtualQ or its technology stack.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.1,"The question compares two external telephony companies, Five9 and NICE inContact, and does not pertain to virtualQ's technology stack or products.",out_of_domain_other_company,en
Explain quantum computing in simple terms,False,False,0.1,"The question is about quantum computing in general, which is unrelated to virtualQ's telephony technology or company-specific systems.",out_of_domain_general_knowledge,en
What are the best Python web frameworks?,False,False,0.1,The question is a general inquiry about Python web frameworks and is not specifically related to virtualQ or its technology stack.,out_of_domain_general_tech,en
How do I make a chocolate cake?,False,False,0.0,The question about making a chocolate cake is unrelated to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
What are WebSockets used for?,False,False,0.3,"The question is a general technology inquiry about WebSockets and does not specifically reference virtualQ or its telephony services, architecture, or products.",out_of_domain_general_tech,en
Explain Kubernetes pod scheduling,False,False,0.1,The question is a general technical question about Kubernetes and not specifically related to virtualQ's technology stack or telephony services.,out_of_domain_general_tech,en
What is the difference between TCP and UDP?,False,False,0.1,The question is a general networking topic and not specifically about virtualQ's technology stack or telephony systems.,out_of_domain_general_tech,en
Welche rechtlichen Kriterien gibt es bei Drittanbieter-Software?,True,True,0.75,"Die Frage bezieht sich auf rechtliche Kriterien für Drittanbieter-Software im Kontext von virtualQ, was Compliance und Sicherheit im Unternehmen betreffen kann und somit zum Technologie- und Governance-Umfeld von virtualQ gehört.",in_domain,en
Welche Programmiersprachen werden bei uns verwendet?,True,True,0.95,"The question asks about programming languages used at virtualQ, which is directly related to the company's technology stack and engineering practices.",in_domain,en
Welche Frameworks werden in unserem System genutzt?,True,True,0.95,"Die Frage bezieht sich auf die verwendeten Frameworks im System von virtualQ, was direkt zur Technologie-Stack-Domäne des Unternehmens gehört.",in_domain,en
Was sind interne und externe Audits und wie unterscheiden sie sich?,True,False,0.1,"The question is a general inquiry about internal and external audits and does not specifically relate to virtualQ or its technology, products, or practices.",in_domain,en
Wie wird mit Technical Debt umgegangen?,True,True,0.95,"The question asks about how technical debt is managed, which is a software engineering practice relevant to virtualQ's technology stack and development processes.",in_domain,en
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,True,0.95,"Die Frage bezieht sich direkt auf die Skalierung des virtualQ-Systems hinsichtlich Performance und neuer Standorte, was Teil der Infrastruktur und Architektur von virtualQ ist.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,True,0.95,"Die Frage bezieht sich auf Technologien zur Sprach- und Intent-Erkennung im Kontext des virtualQ-Systems, was direkt zum Technologiestack und den Produkten von virtualQ gehört.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,True,0.95,"Die Frage bezieht sich auf den Build- und Deployment-Prozess, was direkt zu den CI/CD-Praktiken von virtualQ gehört und somit im fachlichen Bereich der Technologie und Infrastruktur des Unternehmens liegt.",in_domain,en
Wie nutzen wir Mobile Device Management?,True,True,0.9,"The question asks about Mobile Device Management usage at virtualQ, which relates to the company's infrastructure and security practices, falling within the domain of virtualQ's technology stack.",in_domain,en
Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?,True,True,0.95,"Die Frage bezieht sich auf die Technologie-Stack der Forecasting-Engine von virtualQ, was im Kontext von deren telephony-spezifischen Produkten und Systemen liegt.",in_domain,en
Welche verschiedenen Optimizer bietet virtualQ an und was tun sie?,True,True,0.95,"The question asks about specific technical components (optimizers) offered by virtualQ, which relates to its technology stack and products.",in_domain,en
Was ist die Hauptstadt von Frankreich?,False,False,0.0,"Die Frage bezieht sich auf die Hauptstadt von Frankreich, was allgemeines geografisches Wissen betrifft und nicht mit virtualQ oder dessen Technologiestack in Verbindung steht.",out_of_domain_general_knowledge,en
Wer hat den Roman 1984 geschrieben?,False,False,0.1,Die Frage bezieht sich auf den Autor des Romans '1984' und hat keinen Bezug zu virtualQ oder dessen Technologie-Stack.,out_of_domain_general_knowledge,en
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.1,"Die Frage bezieht sich auf die Lichtgeschwindigkeit, ein allgemeines physikalisches Konzept, und hat keinen Bezug zum Telekommunikationsunternehmen virtualQ oder dessen Technologiestack.",out_of_domain_general_knowledge,en
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.1,"Die Frage bezieht sich auf Genesys Cloud, ein Produkt eines anderen Unternehmens, und nicht auf virtualQ oder dessen Technologiestack.",out_of_domain_other_company,en
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.1,"Die Frage bezieht sich auf den Vergleich von Five9 und NICE inContact, die keine Bezug zu virtualQ haben, und betrifft somit einen anderen Unternehmensbereich.",out_of_domain_other_company,en
Erkläre Quantencomputing in einfachen Worten,False,False,0.1,"The question is about quantum computing in general, which is unrelated to virtualQ's technology stack or telephony services.",out_of_domain_general_knowledge,en
Was sind die besten Python-Web-Frameworks?,False,False,0.1,"Die Frage bezieht sich auf allgemeine Python-Web-Frameworks und nicht spezifisch auf die Technologie, Produkte oder Infrastruktur von virtualQ.",out_of_domain_general_tech,en
Wie backe ich einen Schokoladenkuchen?,False,False,0.0,Die Frage bezieht sich auf das Backen eines Schokoladenkuchens und hat keinen Bezug zu virtualQ oder dessen Technologiestack.,out_of_domain_general_knowledge,en
Wofür werden WebSockets verwendet?,False,False,0.3,The question is a general technical inquiry about WebSockets and does not specifically reference virtualQ or its technology stack.,out_of_domain_general_tech,en
Erkläre Kubernetes-Pod-Scheduling,False,False,0.1,The question is a general technical inquiry about Kubernetes and not specifically related to virtualQ's technology stack or practices.,out_of_domain_general_tech,en
Was ist der Unterschied zwischen TCP und UDP?,False,False,0.1,The question is a general networking topic and not specifically about virtualQ's technology stack or telephony systems.,out_of_domain_general_tech,en
