question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,True,0.8,"The question pertains to third-party software criteria, which could relate to virtualQ's technology integrations, compliance, or security practices within its telephony services.",in_domain,en
Which programming languages do we use?,True,True,0.95,"The question asks about programming languages used, which pertains to virtualQ's technology stack and engineering practices, falling within the domain.",in_domain,en
What are the central frameworks?,True,True,0.9,"The question asks about central frameworks, which likely refers to software or technology frameworks used by virtualQ, falling within the domain of its technology stack and engineering practices.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.1,"The question asks about general audit concepts without referencing virtualQ or its technology, security, or compliance practices, making it unrelated to the specified domain.",in_domain,en
How is technical debt tracked and managed?,True,True,0.95,"The question pertains to engineering practices at virtualQ, specifically how technical debt is managed, which falls within the domain of the company's technology and development processes.",in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.95,"The question asks about virtualQ's system scalability, which pertains to its architecture and infrastructure, both of which are within the defined domain.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,True,0.95,"The question asks about speech and intent recognition technologies within the system, which are relevant to virtualQ's telephony products and technology stack.",in_domain,en
How is the build and deployment process organized?,True,True,0.95,"The question asks about the build and deployment process, which falls under deployment/CI-CD practices at virtualQ, a topic within the specified domain.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.1,"The question is a general inquiry about Mobile Device Management and does not specifically relate to virtualQ's technology stack, products, or practices.",in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,True,0.95,"The question pertains to the technology stack of virtualQ's forecasting engine, which is a component of its telephony platform and falls within the domain of virtualQ's products and engineering practices.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.95,"The question asks about virtualQ's optimizers, which relates to the company's technology stack and engineering practices, falling within the specified domain.",in_domain,en
What is the capital of France?,False,False,0.1,The question about the capital of France is general knowledge and unrelated to virtualQ or its technology stack.,out_of_domain_general_knowledge,en
