model,prompt,n_total,n_in,n_out,mean_score_in,mean_score_out,median_score_in,median_score_out,std_score_in,std_score_out,pointbiserial_r,pointbiserial_p,mannwhitney_U,mannwhitney_p,score_separation,out_above_0.50_n,out_above_0.50_pct,out_above_0.60_n,out_above_0.60_pct,out_above_0.80_n,out_above_0.80_pct
gpt-oss-120b-1,category,44,22,22,0.8836363636363636,0.913181818181818,0.95,0.96,0.1673759798021168,0.16890082645590926,-0.08956575778699899,0.5631476293648542,157.5,0.9779418678139301,-0.1770842310166267,21,0.9545454545454546,21,0.9545454545454546,21,0.9545454545454546
gpt-oss-120b-1,default,44,22,22,0.5931818181818183,0.982272727272727,0.865,0.99,0.38751204422002733,0.02022064437337393,-0.5873432880808611,2.7744297504921737e-05,40.5,0.9999996262474117,-1.1612611458044761,22,1.0,22,1.0,22,1.0
gpt-oss-120b-1,lenient,44,22,22,0.8204545454545453,0.2772727272727273,0.79,0.1,0.11716806296237459,0.3124889608439803,0.7623451272584962,1.8260588693875922e-09,455.0,2.7384875510082907e-07,1.5072646507484766,7,0.3181818181818182,7,0.3181818181818182,1,0.045454545454545456
gpt-oss-120b-1,two_stage,44,22,22,0.8840909090909093,0.9731818181818181,0.92,0.99,0.16270508204399678,0.037210644103966205,-0.3603647518524282,0.01626447104306767,63.5,0.9999929149742731,-0.7124923245672352,22,1.0,22,1.0,22,1.0
nova-lite-v1,category,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
nova-lite-v1,default,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
nova-lite-v1,lenient,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
nova-lite-v1,two_stage,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
nova-pro-v1,category,44,22,22,0.04090909090909091,0.0,0.0,0.0,0.19188064472004937,0.0,0.1524985703326047,0.32303728760298683,253.0,0.1699038061423419,0.30151134457776363,0,0.0,0,0.0,0,0.0
nova-pro-v1,default,44,22,22,0.6886363636363636,0.18181818181818182,0.9,0.1,0.37158983345754276,0.2788349292124603,0.61968595864455,7.276910720147219e-06,425.0,5.310840969679915e-06,1.2252072016109337,4,0.18181818181818182,4,0.18181818181818182,2,0.09090909090909091
nova-pro-v1,lenient,44,22,22,0.8409090909090907,0.36363636363636365,0.9,0.2,0.07963662060880879,0.34440487600311154,0.6988981625528699,1.3182699831890722e-07,423.0,6.4095925614350726e-06,1.3818209853026424,8,0.36363636363636365,8,0.36363636363636365,6,0.2727272727272727
nova-pro-v1,two_stage,44,22,22,0.47727272727272735,0.11363636363636366,0.5,0.05,0.4283765790825795,0.2273982337441448,0.4769515290593086,0.0010628543827227994,359.5,0.0020716747904412154,0.9430009508380698,2,0.09090909090909091,2,0.09090909090909091,2,0.09090909090909091
pixtral-large-2502-v1,category,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
pixtral-large-2502-v1,default,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
pixtral-large-2502-v1,lenient,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
pixtral-large-2502-v1,two_stage,44,22,22,0.0,0.0,0.0,0.0,0.0,0.0,,,242.0,1.0,,0,0.0,0,0.0,0,0.0
qwen3-235b-a22b-2507-v1,category,44,22,22,0.8568181818181816,0.38636363636363635,0.95,0.1,0.2503785013522406,0.42178244735933823,0.5702436063000969,5.3220004842432596e-05,427.5,4.269545689532385e-06,1.127452644948861,9,0.4090909090909091,9,0.4090909090909091,8,0.36363636363636365
qwen3-235b-a22b-2507-v1,default,44,22,22,0.8159090909090907,0.09545454545454547,0.95,0.1,0.27315892968343697,0.07854190708679773,0.8780287612538258,5.017504846930111e-15,464.0,2.4564658366435855e-08,1.7359876345476,0,0.0,0,0.0,0,0.0
qwen3-235b-a22b-2507-v1,lenient,44,22,22,0.893181818181818,0.3863636363636363,0.925,0.2,0.07285905268696236,0.33742082605081425,0.7282333926145272,2.1128567187433447e-08,447.0,5.141818667555359e-07,1.4398209038598935,8,0.36363636363636365,8,0.36363636363636365,6,0.2727272727272727
qwen3-235b-a22b-2507-v1,two_stage,44,22,22,0.8522727272727271,0.20227272727272727,0.95,0.1,0.24807701987932657,0.2647897965625495,0.7918337417393495,1.5462201683632934e-10,445.0,9.590871848431912e-08,1.5655678320993935,3,0.13636363636363635,3,0.13636363636363635,3,0.13636363636363635
