question,expected_in_domain,predicted_in_domain,score,rationale,category,language
What are the legal criteria for 3rd party software?,True,False,0.15,"The question asks about general legal criteria for third‑party software and does not reference virtualQ or its specific technology, compliance, or engineering practices.",in_domain,en
Which programming languages do we use?,True,True,0.9,"The question asks about the programming languages used, which pertains to virtualQ's technology stack and is therefore within the defined domain.",in_domain,en
What are the central frameworks?,True,False,0.2,"The question is vague and does not reference virtualQ or its technology, making it likely unrelated to the specified domain.",in_domain,en
What are internal and external audits and how do they differ?,True,False,0.1,"The question asks about general internal and external audits without referencing virtualQ or its technology, so it falls outside the specified domain.",in_domain,en
How is technical debt tracked and managed?,True,False,0.9,The question asks about technical debt in general and does not reference virtualQ or its specific technology stack.,in_domain,en
How does the virtualQ system scale for performance and new locations?,True,True,0.99,"The question asks about how virtualQ scales for performance and new locations, which directly pertains to virtualQ's infrastructure and architecture.",in_domain,en
How are speech recognition and intent recognition used in the system?,True,False,0.3,"The question asks about speech and intent recognition in a system but does not explicitly reference virtualQ, making it likely out of scope.",in_domain,en
How is the build and deployment process organized?,True,False,0.2,"The question asks about build and deployment generally without mentioning virtualQ, so it likely falls outside the specific virtualQ-focused domain.",in_domain,en
What is Mobile Device Management and how is it used?,True,False,0.07,The question asks about Mobile Device Management in general and does not reference virtualQ or its specific technology stack.,in_domain,en
What machine learning algorithms are used in the forecasting engine?,True,False,0.88,"The question asks about machine learning algorithms in a forecasting engine without mentioning virtualQ, so it is not specific to virtualQ's technology stack.",in_domain,en
Which different optimizers are offered by virtualQ and what do they do?,True,True,0.97,"The question asks about specific features (optimizers) provided by virtualQ, which pertains to its product/technology stack.",in_domain,en
What is the capital of France?,False,False,0.99,The question asks for a general knowledge fact unrelated to virtualQ's telephony technology or infrastructure.,out_of_domain_general_knowledge,en
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of a novel, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en
What is the speed of light?,False,False,0.99,"The question asks about a fundamental physics constant, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en
What are Genesys Cloud's main features?,False,False,0.99,"The question asks about Genesys Cloud, a different telephony platform, not about virtualQ or its technology.",out_of_domain_other_company,en
How does Five9 compare to NICE inContact?,False,False,0.97,"The question asks about comparing Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en
